Year,Week,Location,Sex,Age band,Deaths,Cause of Death
20,5,Home / Non-institution,F,85+,39,Non-COVID-19
20,5,Hospital,M,0,1,Non-COVID-19
20,5,Hospital,F,0,2,Non-COVID-19
20,5,Hospital,F,1-14,1,Non-COVID-19
20,5,Hospital,M,15-44,1,Non-COVID-19
20,5,Hospital,F,15-44,9,Non-COVID-19
20,5,Hospital,F,45-64,27,Non-COVID-19
20,5,Hospital,M,45-64,47,Non-COVID-19
20,5,Hospital,F,65-74,55,Non-COVID-19
20,5,Hospital,M,65-74,63,Non-COVID-19
20,5,Hospital,F,75-84,92,Non-COVID-19
20,5,Hospital,M,75-84,111,Non-COVID-19
20,5,Hospital,M,85+,84,Non-COVID-19
20,5,Hospital,F,85+,98,Non-COVID-19
20,5,Other institution,M,45-64,2,Non-COVID-19
20,5,Other institution,F,75-84,1,Non-COVID-19
20,5,Other institution,M,85+,1,Non-COVID-19
20,5,Other institution,F,85+,3,Non-COVID-19
20,6,Care Home,F,1-14,1,Non-COVID-19
20,6,Care Home,M,1-14,1,Non-COVID-19
20,6,Care Home,F,15-44,1,Non-COVID-19
20,6,Care Home,M,15-44,1,Non-COVID-19
20,6,Care Home,F,45-64,6,Non-COVID-19
20,6,Care Home,M,45-64,12,Non-COVID-19
20,6,Care Home,F,65-74,11,Non-COVID-19
20,6,Care Home,M,65-74,22,Non-COVID-19
20,6,Care Home,M,75-84,33,Non-COVID-19
20,6,Care Home,F,75-84,48,Non-COVID-19
20,6,Care Home,M,85+,42,Non-COVID-19
20,6,Care Home,F,85+,109,Non-COVID-19
20,6,Home / Non-institution,F,15-44,10,Non-COVID-19
20,6,Home / Non-institution,M,15-44,10,Non-COVID-19
20,6,Home / Non-institution,F,45-64,24,Non-COVID-19
20,6,Home / Non-institution,M,45-64,52,Non-COVID-19
20,6,Home / Non-institution,F,65-74,22,Non-COVID-19
20,6,Home / Non-institution,M,65-74,26,Non-COVID-19
20,6,Home / Non-institution,F,75-84,44,Non-COVID-19
20,6,Home / Non-institution,M,75-84,56,Non-COVID-19
20,6,Home / Non-institution,M,85+,37,Non-COVID-19
20,6,Home / Non-institution,F,85+,39,Non-COVID-19
20,6,Hospital,F,0,1,Non-COVID-19
20,6,Hospital,M,0,5,Non-COVID-19
20,6,Hospital,F,1-14,1,Non-COVID-19
20,6,Hospital,M,1-14,1,Non-COVID-19
20,6,Hospital,F,15-44,4,Non-COVID-19
20,6,Hospital,M,15-44,5,Non-COVID-19
20,6,Hospital,F,45-64,34,Non-COVID-19
20,6,Hospital,M,45-64,41,Non-COVID-19
20,6,Hospital,F,65-74,58,Non-COVID-19
20,6,Hospital,M,65-74,71,Non-COVID-19
20,6,Hospital,M,75-84,98,Non-COVID-19
20,6,Hospital,F,75-84,99,Non-COVID-19
20,6,Hospital,M,85+,85,Non-COVID-19
20,6,Hospital,F,85+,100,Non-COVID-19
20,6,Other institution,M,45-64,1,Non-COVID-19
20,6,Other institution,F,65-74,1,Non-COVID-19
20,6,Other institution,M,85+,1,Non-COVID-19
20,6,Other institution,F,85+,3,Non-COVID-19
20,7,Care Home,M,1-14,1,Non-COVID-19
20,7,Care Home,F,15-44,1,Non-COVID-19
20,7,Care Home,M,15-44,1,Non-COVID-19
20,7,Care Home,F,45-64,6,Non-COVID-19
20,7,Care Home,M,45-64,8,Non-COVID-19
20,7,Care Home,F,65-74,9,Non-COVID-19
20,7,Care Home,M,65-74,19,Non-COVID-19
20,7,Care Home,M,75-84,30,Non-COVID-19
20,7,Care Home,F,75-84,41,Non-COVID-19
20,7,Care Home,M,85+,45,Non-COVID-19
20,7,Care Home,F,85+,97,Non-COVID-19
20,7,Home / Non-institution,F,15-44,2,Non-COVID-19
20,7,Home / Non-institution,M,15-44,23,Non-COVID-19
20,7,Home / Non-institution,F,45-64,29,Non-COVID-19
20,7,Home / Non-institution,M,45-64,47,Non-COVID-19
20,7,Home / Non-institution,F,65-74,26,Non-COVID-19
20,7,Home / Non-institution,M,65-74,58,Non-COVID-19
20,7,Home / Non-institution,F,75-84,36,Non-COVID-19
20,7,Home / Non-institution,M,75-84,55,Non-COVID-19
20,7,Home / Non-institution,M,85+,29,Non-COVID-19
20,7,Home / Non-institution,F,85+,42,Non-COVID-19
20,7,Hospital,M,0,4,Non-COVID-19
20,7,Hospital,F,15-44,5,Non-COVID-19
20,7,Hospital,M,15-44,7,Non-COVID-19
20,7,Hospital,F,45-64,29,Non-COVID-19
20,7,Hospital,M,45-64,46,Non-COVID-19
20,7,Hospital,F,65-74,61,Non-COVID-19
20,7,Hospital,M,65-74,67,Non-COVID-19
20,7,Hospital,F,75-84,65,Non-COVID-19
20,7,Hospital,M,75-84,100,Non-COVID-19
20,7,Hospital,M,85+,77,Non-COVID-19
20,7,Hospital,F,85+,94,Non-COVID-19
20,7,Other institution,M,45-64,1,Non-COVID-19
20,7,Other institution,F,75-84,1,Non-COVID-19
20,8,Care Home,M,1-14,1,Non-COVID-19
20,8,Care Home,M,15-44,1,Non-COVID-19
20,8,Care Home,M,45-64,2,Non-COVID-19
20,8,Care Home,F,45-64,6,Non-COVID-19
20,8,Care Home,F,65-74,13,Non-COVID-19
20,8,Care Home,M,65-74,16,Non-COVID-19
20,8,Care Home,M,75-84,35,Non-COVID-19
20,8,Care Home,F,75-84,50,Non-COVID-19
20,8,Care Home,M,85+,41,Non-COVID-19
20,8,Care Home,F,85+,102,Non-COVID-19
20,8,Home / Non-institution,F,15-44,7,Non-COVID-19
20,8,Home / Non-institution,M,15-44,19,Non-COVID-19
20,8,Home / Non-institution,F,45-64,27,Non-COVID-19
20,8,Home / Non-institution,M,45-64,42,Non-COVID-19
20,8,Home / Non-institution,F,65-74,33,Non-COVID-19
20,8,Home / Non-institution,M,65-74,45,Non-COVID-19
20,8,Home / Non-institution,F,75-84,41,Non-COVID-19
20,8,Home / Non-institution,M,75-84,50,Non-COVID-19
20,8,Home / Non-institution,M,85+,29,Non-COVID-19
20,8,Home / Non-institution,F,85+,43,Non-COVID-19
20,8,Hospital,F,0,1,Non-COVID-19
20,8,Hospital,M,0,1,Non-COVID-19
20,8,Hospital,F,1-14,1,Non-COVID-19
20,8,Hospital,M,15-44,8,Non-COVID-19
20,8,Hospital,F,15-44,9,Non-COVID-19
20,8,Hospital,F,45-64,31,Non-COVID-19
20,8,Hospital,M,45-64,42,Non-COVID-19
20,8,Hospital,F,65-74,55,Non-COVID-19
20,8,Hospital,M,65-74,62,Non-COVID-19
20,8,Hospital,F,75-84,80,Non-COVID-19
20,8,Hospital,M,75-84,95,Non-COVID-19
20,8,Hospital,M,85+,74,Non-COVID-19
20,8,Hospital,F,85+,92,Non-COVID-19
20,8,Other institution,F,15-44,1,Non-COVID-19
20,8,Other institution,F,45-64,1,Non-COVID-19
20,8,Other institution,M,75-84,1,Non-COVID-19
20,8,Other institution,F,75-84,2,Non-COVID-19
20,8,Other institution,M,85+,1,Non-COVID-19
20,8,Other institution,F,85+,2,Non-COVID-19
20,9,Care Home,M,15-44,1,Non-COVID-19
20,9,Care Home,F,15-44,2,Non-COVID-19
20,9,Care Home,M,45-64,8,Non-COVID-19
20,9,Care Home,F,45-64,10,Non-COVID-19
20,9,Care Home,F,65-74,14,Non-COVID-19
20,9,Care Home,M,65-74,21,Non-COVID-19
20,9,Care Home,M,75-84,31,Non-COVID-19
20,9,Care Home,F,75-84,40,Non-COVID-19
20,9,Care Home,M,85+,40,Non-COVID-19
20,9,Care Home,F,85+,100,Non-COVID-19
20,9,Home / Non-institution,M,1-14,1,Non-COVID-19
20,9,Home / Non-institution,F,1-14,2,Non-COVID-19
20,9,Home / Non-institution,F,15-44,11,Non-COVID-19
20,9,Home / Non-institution,M,15-44,26,Non-COVID-19
20,9,Home / Non-institution,F,45-64,29,Non-COVID-19
20,9,Home / Non-institution,M,45-64,46,Non-COVID-19
20,9,Home / Non-institution,F,65-74,21,Non-COVID-19
20,9,Home / Non-institution,M,65-74,37,Non-COVID-19
20,9,Home / Non-institution,F,75-84,39,Non-COVID-19
20,9,Home / Non-institution,M,75-84,58,Non-COVID-19
20,9,Home / Non-institution,M,85+,39,Non-COVID-19
20,9,Home / Non-institution,F,85+,49,Non-COVID-19
20,9,Hospital,M,0,2,Non-COVID-19
20,9,Hospital,F,15-44,3,Non-COVID-19
20,9,Hospital,M,15-44,4,Non-COVID-19
20,9,Hospital,F,45-64,33,Non-COVID-19
20,9,Hospital,M,45-64,38,Non-COVID-19
20,9,Hospital,F,65-74,60,Non-COVID-19
20,9,Hospital,M,65-74,61,Non-COVID-19
20,9,Hospital,F,75-84,72,Non-COVID-19
20,9,Hospital,M,75-84,91,Non-COVID-19
20,9,Hospital,M,85+,74,Non-COVID-19
20,9,Hospital,F,85+,104,Non-COVID-19
20,9,Other institution,F,45-64,1,Non-COVID-19
20,9,Other institution,F,75-84,1,Non-COVID-19
20,9,Other institution,M,75-84,1,Non-COVID-19
20,9,Other institution,M,85+,1,Non-COVID-19
20,10,Care Home,F,0,1,Non-COVID-19
20,10,Care Home,M,15-44,1,Non-COVID-19
20,10,Care Home,F,15-44,2,Non-COVID-19
20,10,Care Home,M,45-64,9,Non-COVID-19
20,10,Care Home,F,45-64,14,Non-COVID-19
20,10,Care Home,F,65-74,13,Non-COVID-19
20,10,Care Home,M,65-74,16,Non-COVID-19
20,10,Care Home,M,75-84,36,Non-COVID-19
20,10,Care Home,F,75-84,46,Non-COVID-19
20,10,Care Home,M,85+,40,Non-COVID-19
20,10,Care Home,F,85+,110,Non-COVID-19
20,10,Home / Non-institution,F,15-44,10,Non-COVID-19
20,10,Home / Non-institution,M,15-44,21,Non-COVID-19
20,10,Home / Non-institution,F,45-64,30,Non-COVID-19
20,10,Home / Non-institution,M,45-64,49,Non-COVID-19
20,10,Home / Non-institution,F,65-74,27,Non-COVID-19
20,10,Home / Non-institution,M,65-74,47,Non-COVID-19
20,10,Home / Non-institution,F,75-84,39,Non-COVID-19
20,10,Home / Non-institution,M,75-84,45,Non-COVID-19
20,10,Home / Non-institution,M,85+,30,Non-COVID-19
20,10,Home / Non-institution,F,85+,46,Non-COVID-19
20,10,Hospital,F,0,2,Non-COVID-19
20,10,Hospital,M,15-44,5,Non-COVID-19
20,10,Hospital,F,15-44,9,Non-COVID-19
20,10,Hospital,F,45-64,27,Non-COVID-19
20,10,Hospital,M,45-64,43,Non-COVID-19
20,10,Hospital,F,65-74,46,Non-COVID-19
20,10,Hospital,M,65-74,66,Non-COVID-19
20,10,Hospital,F,75-84,93,Non-COVID-19
20,10,Hospital,M,75-84,100,Non-COVID-19
20,10,Hospital,M,85+,73,Non-COVID-19
20,10,Hospital,F,85+,106,Non-COVID-19
20,10,Other institution,M,45-64,1,Non-COVID-19
20,10,Other institution,M,65-74,2,Non-COVID-19
20,10,Other institution,M,75-84,1,Non-COVID-19
20,10,Other institution,F,85+,2,Non-COVID-19
20,11,Care Home,M,1-14,1,Non-COVID-19
20,11,Care Home,M,15-44,1,Non-COVID-19
20,11,Care Home,F,15-44,4,Non-COVID-19
20,11,Care Home,M,45-64,5,Non-COVID-19
20,11,Care Home,F,45-64,9,Non-COVID-19
20,11,Care Home,F,65-74,10,Non-COVID-19
20,11,Care Home,M,65-74,15,Non-COVID-19
20,11,Care Home,M,75-84,39,Non-COVID-19
20,11,Care Home,F,75-84,41,Non-COVID-19
20,11,Care Home,M,85+,44,Non-COVID-19
20,11,Care Home,F,85+,91,Non-COVID-19
20,11,Home / Non-institution,F,15-44,17,Non-COVID-19
20,11,Home / Non-institution,M,15-44,21,Non-COVID-19
20,11,Home / Non-institution,F,45-64,19,Non-COVID-19
20,11,Home / Non-institution,M,45-64,56,Non-COVID-19
20,11,Home / Non-institution,F,65-74,20,Non-COVID-19
20,11,Home / Non-institution,M,65-74,55,Non-COVID-19
20,11,Home / Non-institution,F,75-84,47,Non-COVID-19
20,11,Home / Non-institution,M,75-84,48,Non-COVID-19
20,11,Home / Non-institution,M,85+,32,Non-COVID-19
20,11,Home / Non-institution,F,85+,44,Non-COVID-19
20,11,Hospital,M,0,2,Non-COVID-19
20,11,Hospital,F,0,3,Non-COVID-19
20,11,Hospital,M,1-14,1,Non-COVID-19
20,11,Hospital,F,15-44,4,Non-COVID-19
20,11,Hospital,M,15-44,4,Non-COVID-19
20,11,Hospital,M,45-64,46,Non-COVID-19
20,11,Hospital,F,45-64,47,Non-COVID-19
20,11,Hospital,F,65-74,57,Non-COVID-19
20,11,Hospital,M,65-74,68,Non-COVID-19
20,11,Hospital,F,75-84,74,Non-COVID-19
20,11,Hospital,M,75-84,81,Non-COVID-19
20,11,Hospital,M,85+,90,Non-COVID-19
20,11,Hospital,F,85+,97,Non-COVID-19
20,11,Other institution,M,45-64,1,Non-COVID-19
20,11,Other institution,F,75-84,1,Non-COVID-19
20,11,Other institution,F,85+,3,Non-COVID-19
20,12,Care Home,M,65-74,1,COVID-19 mentioned
20,12,Care Home,F,15-44,1,Non-COVID-19
20,12,Care Home,M,15-44,1,Non-COVID-19
20,12,Care Home,M,45-64,10,Non-COVID-19
20,12,Care Home,F,45-64,15,Non-COVID-19
20,12,Care Home,M,65-74,10,Non-COVID-19
20,12,Care Home,F,65-74,11,Non-COVID-19
20,12,Care Home,M,75-84,40,Non-COVID-19
20,12,Care Home,F,75-84,47,Non-COVID-19
20,12,Care Home,M,85+,43,Non-COVID-19
20,12,Care Home,F,85+,96,Non-COVID-19
20,12,Home / Non-institution,F,45-64,1,COVID-19 mentioned
20,12,Home / Non-institution,F,65-74,1,COVID-19 mentioned
20,12,Home / Non-institution,F,15-44,7,Non-COVID-19
20,12,Home / Non-institution,M,15-44,24,Non-COVID-19
20,12,Home / Non-institution,F,45-64,35,Non-COVID-19
20,12,Home / Non-institution,M,45-64,43,Non-COVID-19
20,12,Home / Non-institution,F,65-74,33,Non-COVID-19
20,12,Home / Non-institution,M,65-74,51,Non-COVID-19
20,12,Home / Non-institution,F,75-84,43,Non-COVID-19
20,12,Home / Non-institution,M,75-84,55,Non-COVID-19
20,12,Home / Non-institution,M,85+,34,Non-COVID-19
20,12,Home / Non-institution,F,85+,36,Non-COVID-19
20,12,Hospital,M,65-74,1,COVID-19 mentioned
20,12,Hospital,F,65-74,2,COVID-19 mentioned
20,12,Hospital,M,75-84,3,COVID-19 mentioned
20,12,Hospital,F,85+,1,COVID-19 mentioned
20,12,Hospital,M,85+,1,COVID-19 mentioned
20,12,Hospital,M,0,1,Non-COVID-19
20,12,Hospital,F,0,3,Non-COVID-19
20,12,Hospital,F,15-44,3,Non-COVID-19
20,12,Hospital,M,15-44,5,Non-COVID-19
20,12,Hospital,F,45-64,28,Non-COVID-19
20,12,Hospital,M,45-64,52,Non-COVID-19
20,12,Hospital,F,65-74,44,Non-COVID-19
20,12,Hospital,M,65-74,74,Non-COVID-19
20,12,Hospital,F,75-84,79,Non-COVID-19
20,12,Hospital,M,75-84,93,Non-COVID-19
20,12,Hospital,M,85+,69,Non-COVID-19
20,12,Hospital,F,85+,88,Non-COVID-19
20,12,Other institution,F,45-64,2,Non-COVID-19
20,12,Other institution,M,45-64,3,Non-COVID-19
20,12,Other institution,M,75-84,1,Non-COVID-19
20,12,Other institution,F,75-84,2,Non-COVID-19
20,12,Other institution,M,85+,1,Non-COVID-19
20,12,Other institution,F,85+,2,Non-COVID-19
20,13,Care Home,M,75-84,1,COVID-19 mentioned
20,13,Care Home,F,85+,2,COVID-19 mentioned
20,13,Care Home,M,85+,2,COVID-19 mentioned
20,13,Care Home,F,15-44,2,Non-COVID-19
20,13,Care Home,F,45-64,3,Non-COVID-19
20,13,Care Home,M,45-64,5,Non-COVID-19
20,13,Care Home,F,65-74,12,Non-COVID-19
20,13,Care Home,M,65-74,17,Non-COVID-19
20,13,Care Home,M,75-84,28,Non-COVID-19
20,13,Care Home,F,75-84,44,Non-COVID-19
20,13,Care Home,M,85+,37,Non-COVID-19
20,13,Care Home,F,85+,108,Non-COVID-19
20,13,Home / Non-institution,F,45-64,3,COVID-19 mentioned
20,13,Home / Non-institution,M,45-64,4,COVID-19 mentioned
20,13,Home / Non-institution,M,65-74,3,COVID-19 mentioned
20,13,Home / Non-institution,M,75-84,1,COVID-19 mentioned
20,13,Home / Non-institution,M,85+,1,COVID-19 mentioned
20,13,Home / Non-institution,F,85+,2,COVID-19 mentioned
20,13,Home / Non-institution,M,1-14,1,Non-COVID-19
20,13,Home / Non-institution,F,15-44,7,Non-COVID-19
20,13,Home / Non-institution,M,15-44,12,Non-COVID-19
20,13,Home / Non-institution,F,45-64,20,Non-COVID-19
20,13,Home / Non-institution,M,45-64,48,Non-COVID-19
20,13,Home / Non-institution,F,65-74,27,Non-COVID-19
20,13,Home / Non-institution,M,65-74,46,Non-COVID-19
20,13,Home / Non-institution,M,75-84,44,Non-COVID-19
20,13,Home / Non-institution,F,75-84,53,Non-COVID-19
20,13,Home / Non-institution,M,85+,34,Non-COVID-19
20,13,Home / Non-institution,F,85+,46,Non-COVID-19
20,13,Hospital,M,45-64,5,COVID-19 mentioned
20,13,Hospital,F,65-74,3,COVID-19 mentioned
20,13,Hospital,M,65-74,5,COVID-19 mentioned
20,13,Hospital,F,75-84,9,COVID-19 mentioned
20,13,Hospital,M,75-84,13,COVID-19 mentioned
20,13,Hospital,M,85+,1,COVID-19 mentioned
20,13,Hospital,F,85+,7,COVID-19 mentioned
20,13,Hospital,M,0,1,Non-COVID-19
20,13,Hospital,F,0,4,Non-COVID-19
20,13,Hospital,F,15-44,1,Non-COVID-19
20,13,Hospital,M,15-44,4,Non-COVID-19
20,13,Hospital,M,45-64,28,Non-COVID-19
20,13,Hospital,F,45-64,30,Non-COVID-19
20,13,Hospital,M,65-74,42,Non-COVID-19
20,13,Hospital,F,65-74,47,Non-COVID-19
20,13,Hospital,M,75-84,59,Non-COVID-19
20,13,Hospital,F,75-84,65,Non-COVID-19
20,13,Hospital,M,85+,58,Non-COVID-19
20,13,Hospital,F,85+,83,Non-COVID-19
20,13,Other institution,M,85+,1,Non-COVID-19
20,14,Care Home,F,45-64,1,COVID-19 mentioned
20,14,Care Home,M,45-64,1,COVID-19 mentioned
20,14,Care Home,F,65-74,1,COVID-19 mentioned
20,14,Care Home,M,65-74,5,COVID-19 mentioned
20,14,Care Home,M,75-84,6,COVID-19 mentioned
20,14,Care Home,F,75-84,13,COVID-19 mentioned
20,14,Care Home,M,85+,5,COVID-19 mentioned
20,14,Care Home,F,85+,17,COVID-19 mentioned
20,14,Care Home,M,15-44,1,Non-COVID-19
20,14,Care Home,M,45-64,4,Non-COVID-19
20,14,Care Home,F,45-64,11,Non-COVID-19
20,14,Care Home,M,65-74,15,Non-COVID-19
20,14,Care Home,F,65-74,24,Non-COVID-19
20,14,Care Home,M,75-84,53,Non-COVID-19
20,14,Care Home,F,75-84,68,Non-COVID-19
20,14,Care Home,M,85+,80,Non-COVID-19
20,14,Care Home,F,85+,138,Non-COVID-19
20,14,Home / Non-institution,F,15-44,1,COVID-19 mentioned
