Year,Week,WeekX,Location,Sex,Age,Deaths
17,47,47,Home / Non-institution,M,1-14,1
17,47,47,Hospital,F,1-14,1
17,49,49,Care Home,M,1-14,1
17,50,50,Hospital,M,1-14,1
17,51,51,Home / Non-institution,M,1-14,1
17,51,51,Hospital,M,1-14,1
17,52,52,Hospital,M,1-14,1
18,1,53,Home / Non-institution,M,1-14,1
18,2,54,Home / Non-institution,F,1-14,1
18,2,54,Hospital,F,1-14,1
18,2,54,Hospital,M,1-14,3
18,3,55,Home / Non-institution,F,1-14,2
18,4,56,Hospital,M,1-14,1
18,5,57,Care Home,M,1-14,1
18,7,59,Hospital,M,1-14,1
18,8,60,Care Home,F,1-14,1
18,8,60,Hospital,F,1-14,1
18,10,62,Care Home,F,1-14,1
18,11,63,Home / Non-institution,F,1-14,2
18,11,63,Hospital,F,1-14,1
18,12,64,Hospital,F,1-14,1
18,13,65,Home / Non-institution,M,1-14,1
18,14,66,Hospital,M,1-14,2
18,15,67,Care Home,F,1-14,1
18,16,68,Hospital,M,1-14,1
18,17,69,Care Home,F,1-14,1
18,18,70,Hospital,F,1-14,1
18,19,71,Home / Non-institution,M,1-14,1
18,19,71,Hospital,F,1-14,1
18,21,73,Hospital,F,1-14,1
18,21,73,Hospital,M,1-14,1
18,23,75,Home / Non-institution,M,1-14,2
18,25,77,Care Home,M,1-14,1
18,25,77,Hospital,M,1-14,1
18,28,80,Care Home,M,1-14,1
18,28,80,Home / Non-institution,F,1-14,2
18,28,80,Hospital,M,1-14,1
18,30,82,Home / Non-institution,M,1-14,1
18,31,83,Home / Non-institution,M,1-14,1
18,32,84,Hospital,F,1-14,1
18,32,84,Hospital,M,1-14,2
18,34,86,Home / Non-institution,F,1-14,2
18,35,87,Hospital,F,1-14,1
18,35,87,Hospital,M,1-14,1
18,36,88,Home / Non-institution,F,1-14,1
18,36,88,Home / Non-institution,M,1-14,1
18,36,88,Hospital,F,1-14,1
18,37,89,Home / Non-institution,F,1-14,1
18,37,89,Hospital,F,1-14,1
18,37,89,Hospital,M,1-14,1
18,38,90,Care Home,M,1-14,1
18,39,91,Home / Non-institution,F,1-14,1
18,39,91,Home / Non-institution,M,1-14,1
18,39,91,Hospital,F,1-14,1
18,40,92,Hospital,F,1-14,1
18,41,93,Care Home,M,1-14,1
18,41,93,Home / Non-institution,M,1-14,1
18,42,94,Hospital,F,1-14,1
18,43,95,Hospital,F,1-14,1
18,44,96,Care Home,F,1-14,1
18,44,96,Home / Non-institution,M,1-14,1
18,45,97,Home / Non-institution,F,1-14,1
18,45,97,Hospital,M,1-14,1
18,46,98,Care Home,F,1-14,1
18,46,98,Home / Non-institution,F,1-14,1
18,46,98,Hospital,F,1-14,1
18,48,100,Home / Non-institution,M,1-14,1
18,48,100,Home / Non-institution,F,1-14,2
18,49,101,Care Home,M,1-14,1
18,49,101,Hospital,M,1-14,1
18,50,102,Home / Non-institution,M,1-14,1
18,50,102,Hospital,F,1-14,1
18,50,102,Hospital,M,1-14,3
18,51,103,Care Home,F,1-14,1
18,51,103,Home / Non-institution,F,1-14,1
18,51,103,Hospital,M,1-14,3
17,1,1,Care Home,M,15-44,2
17,1,1,Home / Non-institution,F,15-44,4
17,1,1,Home / Non-institution,M,15-44,17
17,1,1,Hospital,F,15-44,6
17,1,1,Hospital,M,15-44,14
17,1,1,Other institution,F,15-44,1
17,2,2,Home / Non-institution,F,15-44,10
17,2,2,Home / Non-institution,M,15-44,17
17,2,2,Hospital,F,15-44,6
17,2,2,Hospital,M,15-44,10
17,2,2,Other institution,M,15-44,1
17,3,3,Care Home,F,15-44,1
17,3,3,Home / Non-institution,F,15-44,8
17,3,3,Home / Non-institution,M,15-44,15
17,3,3,Hospital,M,15-44,8
17,3,3,Hospital,F,15-44,10
17,3,3,Other institution,M,15-44,1
17,4,4,Care Home,M,15-44,2
17,4,4,Home / Non-institution,F,15-44,8
17,4,4,Home / Non-institution,M,15-44,17
17,4,4,Hospital,F,15-44,5
17,4,4,Hospital,M,15-44,11
17,5,5,Care Home,F,15-44,1
17,5,5,Care Home,M,15-44,1
17,5,5,Home / Non-institution,F,15-44,4
17,5,5,Home / Non-institution,M,15-44,11
17,5,5,Hospital,F,15-44,4
17,5,5,Hospital,M,15-44,9
17,5,5,Other institution,M,15-44,1
17,6,6,Care Home,F,15-44,1
17,6,6,Care Home,M,15-44,2
17,6,6,Home / Non-institution,F,15-44,7
17,6,6,Home / Non-institution,M,15-44,20
17,6,6,Hospital,F,15-44,5
17,6,6,Hospital,M,15-44,7
17,7,7,Home / Non-institution,F,15-44,5
17,7,7,Home / Non-institution,M,15-44,13
17,7,7,Hospital,M,15-44,5
17,7,7,Hospital,F,15-44,6
17,8,8,Care Home,F,15-44,1
17,8,8,Home / Non-institution,F,15-44,9
17,8,8,Home / Non-institution,M,15-44,17
17,8,8,Hospital,F,15-44,3
17,8,8,Hospital,M,15-44,11
17,8,8,Other institution,M,15-44,1
17,9,9,Care Home,M,15-44,3
17,9,9,Home / Non-institution,F,15-44,9
17,9,9,Home / Non-institution,M,15-44,21
17,9,9,Hospital,F,15-44,2
17,9,9,Hospital,M,15-44,5
17,9,9,Other institution,M,15-44,1
17,10,10,Home / Non-institution,F,15-44,6
17,10,10,Home / Non-institution,M,15-44,15
17,10,10,Hospital,M,15-44,5
17,10,10,Hospital,F,15-44,6
17,11,11,Care Home,F,15-44,1
17,11,11,Care Home,M,15-44,1
17,11,11,Home / Non-institution,F,15-44,3
17,11,11,Home / Non-institution,M,15-44,18
17,11,11,Hospital,F,15-44,3
17,11,11,Hospital,M,15-44,5
17,12,12,Care Home,F,15-44,1
17,12,12,Home / Non-institution,F,15-44,16
17,12,12,Home / Non-institution,M,15-44,16
17,12,12,Hospital,M,15-44,7
17,12,12,Hospital,F,15-44,8
17,13,13,Care Home,F,15-44,1
17,13,13,Care Home,M,15-44,1
17,13,13,Home / Non-institution,F,15-44,4
17,13,13,Home / Non-institution,M,15-44,14
17,13,13,Hospital,F,15-44,4
17,13,13,Hospital,M,15-44,5
17,13,13,Other institution,M,15-44,1
17,14,14,Care Home,F,15-44,1
17,14,14,Care Home,M,15-44,1
17,14,14,Home / Non-institution,F,15-44,7
17,14,14,Home / Non-institution,M,15-44,15
17,14,14,Hospital,F,15-44,2
17,14,14,Hospital,M,15-44,9
17,15,15,Care Home,F,15-44,2
17,15,15,Home / Non-institution,F,15-44,4
17,15,15,Home / Non-institution,M,15-44,11
17,15,15,Hospital,F,15-44,5
17,15,15,Hospital,M,15-44,10
17,16,16,Home / Non-institution,F,15-44,10
17,16,16,Home / Non-institution,M,15-44,15
17,16,16,Hospital,F,15-44,8
17,16,16,Hospital,M,15-44,10
17,17,17,Care Home,F,15-44,1
17,17,17,Care Home,M,15-44,3
17,17,17,Home / Non-institution,F,15-44,4
17,17,17,Home / Non-institution,M,15-44,15
17,17,17,Hospital,F,15-44,3
17,17,17,Hospital,M,15-44,10
17,18,18,Care Home,F,15-44,1
17,18,18,Home / Non-institution,F,15-44,8
17,18,18,Home / Non-institution,M,15-44,16
17,18,18,Hospital,F,15-44,5
17,18,18,Hospital,M,15-44,9
17,19,19,Care Home,F,15-44,1
17,19,19,Home / Non-institution,F,15-44,3
17,19,19,Home / Non-institution,M,15-44,17
17,19,19,Hospital,M,15-44,7
17,19,19,Hospital,F,15-44,8
17,19,19,Other institution,M,15-44,1
17,20,20,Care Home,F,15-44,1
17,20,20,Care Home,M,15-44,1
17,20,20,Home / Non-institution,F,15-44,9
17,20,20,Home / Non-institution,M,15-44,16
17,20,20,Hospital,F,15-44,5
17,20,20,Hospital,M,15-44,10
17,21,21,Care Home,M,15-44,1
17,21,21,Home / Non-institution,F,15-44,9
17,21,21,Home / Non-institution,M,15-44,15
17,21,21,Hospital,F,15-44,4
17,21,21,Hospital,M,15-44,12
17,21,21,Other institution,M,15-44,1
17,22,22,Care Home,F,15-44,1
17,22,22,Care Home,M,15-44,1
17,22,22,Home / Non-institution,F,15-44,7
17,22,22,Home / Non-institution,M,15-44,16
17,22,22,Hospital,F,15-44,4
17,22,22,Hospital,M,15-44,9
17,23,23,Care Home,F,15-44,1
17,23,23,Care Home,M,15-44,2
17,23,23,Home / Non-institution,F,15-44,7
17,23,23,Home / Non-institution,M,15-44,28
17,23,23,Hospital,M,15-44,3
17,23,23,Hospital,F,15-44,6
17,24,24,Care Home,M,15-44,1
17,24,24,Home / Non-institution,F,15-44,6
17,24,24,Home / Non-institution,M,15-44,20
17,24,24,Hospital,F,15-44,3
17,24,24,Hospital,M,15-44,8
17,25,25,Care Home,F,15-44,1
17,25,25,Care Home,M,15-44,1
17,25,25,Home / Non-institution,F,15-44,4
17,25,25,Home / Non-institution,M,15-44,20
17,25,25,Hospital,M,15-44,4
17,25,25,Hospital,F,15-44,7
17,26,26,Care Home,F,15-44,1
17,26,26,Home / Non-institution,F,15-44,6
17,26,26,Home / Non-institution,M,15-44,19
17,26,26,Hospital,F,15-44,4
17,26,26,Hospital,M,15-44,9
17,27,27,Care Home,F,15-44,2
17,27,27,Home / Non-institution,F,15-44,6
17,27,27,Home / Non-institution,M,15-44,13
17,27,27,Hospital,F,15-44,6
17,27,27,Hospital,M,15-44,11
17,28,28,Care Home,F,15-44,1
17,28,28,Care Home,M,15-44,1
17,28,28,Home / Non-institution,F,15-44,9
17,28,28,Home / Non-institution,M,15-44,17
17,28,28,Hospital,F,15-44,3
17,28,28,Hospital,M,15-44,10
17,29,29,Care Home,M,15-44,1
17,29,29,Home / Non-institution,F,15-44,9
17,29,29,Home / Non-institution,M,15-44,25
17,29,29,Hospital,F,15-44,9
17,29,29,Hospital,M,15-44,11
17,29,29,Other institution,M,15-44,1
17,30,30,Care Home,F,15-44,1
17,30,30,Care Home,M,15-44,1
17,30,30,Home / Non-institution,F,15-44,11
17,30,30,Home / Non-institution,M,15-44,17
17,30,30,Hospital,F,15-44,2
17,30,30,Hospital,M,15-44,12
17,31,31,Care Home,F,15-44,1
17,31,31,Home / Non-institution,F,15-44,6
17,31,31,Home / Non-institution,M,15-44,20
17,31,31,Hospital,M,15-44,10
17,31,31,Hospital,F,15-44,12
17,32,32,Home / Non-institution,F,15-44,16
17,32,32,Home / Non-institution,M,15-44,24
17,32,32,Hospital,F,15-44,6
17,32,32,Hospital,M,15-44,9
17,33,33,Care Home,F,15-44,1
17,33,33,Home / Non-institution,F,15-44,8
17,33,33,Home / Non-institution,M,15-44,29
17,33,33,Hospital,M,15-44,1
17,33,33,Hospital,F,15-44,5
17,34,34,Care Home,M,15-44,1
17,34,34,Home / Non-institution,F,15-44,5
17,34,34,Home / Non-institution,M,15-44,18
17,34,34,Hospital,M,15-44,5
17,34,34,Hospital,F,15-44,7
17,35,35,Care Home,F,15-44,2
17,35,35,Care Home,M,15-44,2
17,35,35,Home / Non-institution,F,15-44,5
17,35,35,Home / Non-institution,M,15-44,13
17,35,35,Hospital,M,15-44,9
17,35,35,Hospital,F,15-44,16
17,36,36,Care Home,F,15-44,1
17,36,36,Home / Non-institution,F,15-44,9
17,36,36,Home / Non-institution,M,15-44,21
17,36,36,Hospital,F,15-44,3
17,36,36,Hospital,M,15-44,5
17,37,37,Care Home,M,15-44,1
17,37,37,Home / Non-institution,F,15-44,4
17,37,37,Home / Non-institution,M,15-44,15
17,37,37,Hospital,F,15-44,3
17,37,37,Hospital,M,15-44,5
17,37,37,Other institution,F,15-44,1
17,38,38,Care Home,M,15-44,1
17,38,38,Home / Non-institution,F,15-44,7
17,38,38,Home / Non-institution,M,15-44,13
17,38,38,Hospital,M,15-44,6
17,38,38,Hospital,F,15-44,7
17,38,38,Other institution,M,15-44,1
17,39,39,Home / Non-institution,F,15-44,4
17,39,39,Home / Non-institution,M,15-44,18
17,39,39,Hospital,F,15-44,7
17,39,39,Hospital,M,15-44,13
17,39,39,Other institution,M,15-44,2
17,40,40,Care Home,M,15-44,2
17,40,40,Home / Non-institution,F,15-44,6
17,40,40,Home / Non-institution,M,15-44,14
17,40,40,Hospital,F,15-44,4
17,40,40,Hospital,M,15-44,7
17,41,41,Care Home,M,15-44,1
17,41,41,Care Home,F,15-44,2
17,41,41,Home / Non-institution,F,15-44,5
17,41,41,Home / Non-institution,M,15-44,15
17,41,41,Hospital,F,15-44,6
17,41,41,Hospital,M,15-44,6
17,41,41,Other institution,M,15-44,1
17,42,42,Home / Non-institution,F,15-44,4
17,42,42,Home / Non-institution,M,15-44,28
17,42,42,Hospital,F,15-44,3
17,42,42,Hospital,M,15-44,7
17,43,43,Care Home,F,15-44,4
17,43,43,Home / Non-institution,F,15-44,8
17,43,43,Home / Non-institution,M,15-44,24
17,43,43,Hospital,M,15-44,8
17,43,43,Hospital,F,15-44,9
17,44,44,Home / Non-institution,F,15-44,8
17,44,44,Home / Non-institution,M,15-44,22
17,44,44,Hospital,M,15-44,3
17,44,44,Hospital,F,15-44,6
17,45,45,Care Home,F,15-44,3
17,45,45,Home / Non-institution,F,15-44,11
17,45,45,Home / Non-institution,M,15-44,17
17,45,45,Hospital,F,15-44,3
17,45,45,Hospital,M,15-44,10
17,45,45,Other institution,M,15-44,1
17,46,46,Care Home,F,15-44,1
17,46,46,Home / Non-institution,F,15-44,7
17,46,46,Home / Non-institution,M,15-44,20
17,46,46,Hospital,F,15-44,3
17,46,46,Hospital,M,15-44,7
17,47,47,Care Home,F,15-44,1
17,47,47,Home / Non-institution,F,15-44,8
17,47,47,Home / Non-institution,M,15-44,18
17,47,47,Hospital,M,15-44,3
17,47,47,Hospital,F,15-44,7
17,47,47,Other institution,F,15-44,1
17,48,48,Home / Non-institution,F,15-44,8
17,48,48,Home / Non-institution,M,15-44,18
17,48,48,Hospital,M,15-44,4
17,48,48,Hospital,F,15-44,7
17,49,49,Care Home,M,15-44,2
17,49,49,Home / Non-institution,F,15-44,9
17,49,49,Home / Non-institution,M,15-44,15
17,49,49,Hospital,F,15-44,5
17,49,49,Hospital,M,15-44,7
17,50,50,Home / Non-institution,F,15-44,10
17,50,50,Home / Non-institution,M,15-44,25
17,50,50,Hospital,M,15-44,1
17,50,50,Hospital,F,15-44,7
17,51,51,Care Home,M,15-44,1
17,51,51,Home / Non-institution,F,15-44,11
17,51,51,Home / Non-institution,M,15-44,13
17,51,51,Hospital,F,15-44,7
17,51,51,Hospital,M,15-44,8
17,52,52,Care Home,F,15-44,1
17,52,52,Care Home,M,15-44,1
17,52,52,Home / Non-institution,F,15-44,4
17,52,52,Home / Non-institution,M,15-44,8
17,52,52,Hospital,F,15-44,4
17,52,52,Hospital,M,15-44,6
18,1,53,Care Home,M,15-44,1
18,1,53,Care Home,F,15-44,3
18,1,53,Home / Non-institution,F,15-44,5
18,1,53,Home / Non-institution,M,15-44,17
18,1,53,Hospital,F,15-44,5
18,1,53,Hospital,M,15-44,8
18,2,54,Care Home,F,15-44,1
18,2,54,Home / Non-institution,F,15-44,11
18,2,54,Home / Non-institution,M,15-44,14
18,2,54,Hospital,F,15-44,8
18,2,54,Hospital,M,15-44,8
18,3,55,Care Home,F,15-44,1
18,3,55,Care Home,M,15-44,1
18,3,55,Home / Non-institution,F,15-44,9
18,3,55,Home / Non-institution,M,15-44,10
18,3,55,Hospital,M,15-44,7
18,3,55,Hospital,F,15-44,9
18,4,56,Care Home,M,15-44,3
18,4,56,Home / Non-institution,F,15-44,11
18,4,56,Home / Non-institution,M,15-44,24
18,4,56,Hospital,F,15-44,7
18,4,56,Hospital,M,15-44,8
18,5,57,Care Home,M,15-44,3
18,5,57,Home / Non-institution,F,15-44,7
18,5,57,Home / Non-institution,M,15-44,15
18,5,57,Hospital,F,15-44,4
18,5,57,Hospital,M,15-44,8
18,6,58,Care Home,M,15-44,1
18,6,58,Home / Non-institution,F,15-44,10
18,6,58,Home / Non-institution,M,15-44,23
18,6,58,Hospital,F,15-44,6
18,6,58,Hospital,M,15-44,9
18,7,59,Home / Non-institution,F,15-44,8
18,7,59,Home / Non-institution,M,15-44,23
18,7,59,Hospital,F,15-44,7
18,7,59,Hospital,M,15-44,13
18,8,60,Home / Non-institution,F,15-44,9
18,8,60,Home / Non-institution,M,15-44,22
18,8,60,Hospital,F,15-44,6
18,8,60,Hospital,M,15-44,6
18,9,61,Home / Non-institution,F,15-44,9
18,9,61,Home / Non-institution,M,15-44,21
18,9,61,Hospital,M,15-44,5
18,9,61,Hospital,F,15-44,8
18,10,62,Care Home,F,15-44,3
18,10,62,Home / Non-institution,F,15-44,13
18,10,62,Home / Non-institution,M,15-44,27
18,10,62,Hospital,F,15-44,6
18,10,62,Hospital,M,15-44,7
18,11,63,Care Home,F,15-44,1
18,11,63,Home / Non-institution,F,15-44,7
18,11,63,Home / Non-institution,M,15-44,29
18,11,63,Hospital,F,15-44,3
18,11,63,Hospital,M,15-44,9
18,12,64,Care Home,F,15-44,1
18,12,64,Care Home,M,15-44,1
18,12,64,Home / Non-institution,F,15-44,8
18,12,64,Home / Non-institution,M,15-44,20
18,12,64,Hospital,M,15-44,7
18,12,64,Hospital,F,15-44,12
18,13,65,Care Home,M,15-44,1
18,13,65,Home / Non-institution,F,15-44,5
18,13,65,Home / Non-institution,M,15-44,14
18,13,65,Hospital,F,15-44,3
18,13,65,Hospital,M,15-44,6
18,13,65,Other institution,F,15-44,1
18,14,66,Care Home,M,15-44,1
18,14,66,Home / Non-institution,F,15-44,6
18,14,66,Home / Non-institution,M,15-44,25
18,14,66,Hospital,F,15-44,11
18,14,66,Hospital,M,15-44,11
18,14,66,Other institution,M,15-44,1
18,15,67,Home / Non-institution,F,15-44,8
18,15,67,Home / Non-institution,M,15-44,22
18,15,67,Hospital,M,15-44,7
18,15,67,Hospital,F,15-44,8
18,15,67,Other institution,F,15-44,1
18,16,68,Care Home,M,15-44,2
18,16,68,Care Home,F,15-44,3
18,16,68,Home / Non-institution,F,15-44,10
18,16,68,Home / Non-institution,M,15-44,17
18,16,68,Hospital,F,15-44,9
18,16,68,Hospital,M,15-44,11
18,17,69,Care Home,M,15-44,1
18,17,69,Care Home,F,15-44,2
18,17,69,Home / Non-institution,F,15-44,8
18,17,69,Home / Non-institution,M,15-44,23
18,17,69,Hospital,F,15-44,3
18,17,69,Hospital,M,15-44,5
18,17,69,Other institution,M,15-44,1
18,18,70,Care Home,F,15-44,1
18,18,70,Home / Non-institution,F,15-44,5
18,18,70,Home / Non-institution,M,15-44,21
18,18,70,Hospital,F,15-44,7
18,18,70,Hospital,M,15-44,7
18,19,71,Care Home,M,15-44,1
18,19,71,Care Home,F,15-44,2
