Year,Week,WeekX,Location,Sex,Age,Deaths,
19,52,52,Home / Non-institution,M,0,1,
19,52,52,Hospital,M,0,2,
19,1,1,Hospital,F,1-14,1,
19,2,2,Hospital,F,1-14,1,
19,2,2,Hospital,M,1-14,1,
19,3,3,Hospital,F,1-14,1,
19,3,3,Hospital,M,1-14,1,
19,4,4,Home / Non-institution,F,1-14,1,
19,4,4,Hospital,F,1-14,1,
19,5,5,Care Home,M,1-14,1,
19,7,7,Hospital,F,1-14,1,
19,8,8,Hospital,F,1-14,2,
19,9,9,Hospital,F,1-14,1,
19,10,10,Care Home,F,1-14,1,
19,10,10,Hospital,M,1-14,1,
19,11,11,Hospital,M,1-14,1,
19,12,12,Hospital,F,1-14,2,
19,13,13,Hospital,M,1-14,1,
19,14,14,Hospital,M,1-14,1,
19,15,15,Care Home,F,1-14,1,
19,15,15,Care Home,M,1-14,1,
19,15,15,Home / Non-institution,M,1-14,1,
19,15,15,Hospital,F,1-14,1,
19,16,16,Hospital,F,1-14,1,
19,17,17,Home / Non-institution,F,1-14,1,
19,21,21,Care Home,F,1-14,1,
19,21,21,Hospital,F,1-14,1,
19,21,21,Hospital,M,1-14,2,
19,22,22,Hospital,M,1-14,1,
19,23,23,Home / Non-institution,F,1-14,2,
19,23,23,Hospital,M,1-14,1,
19,24,24,Hospital,F,1-14,1,
19,24,24,Hospital,M,1-14,1,
19,25,25,Care Home,M,1-14,1,
19,25,25,Hospital,M,1-14,1,
19,26,26,Care Home,F,1-14,1,
19,26,26,Care Home,M,1-14,1,
19,26,26,Hospital,F,1-14,1,
19,27,27,Home / Non-institution,F,1-14,1,
19,29,29,Home / Non-institution,M,1-14,1,
19,30,30,Home / Non-institution,M,1-14,1,
19,31,31,Hospital,M,1-14,1,
19,32,32,Home / Non-institution,F,1-14,1,
19,32,32,Hospital,M,1-14,1,
19,33,33,Hospital,F,1-14,1,
19,33,33,Hospital,M,1-14,1,
19,35,35,Hospital,M,1-14,1,
19,37,37,Home / Non-institution,M,1-14,1,
19,39,39,Care Home,F,1-14,1,
19,39,39,Hospital,M,1-14,1,
19,40,40,Care Home,F,1-14,1,
19,40,40,Hospital,F,1-14,1,
19,42,42,Home / Non-institution,F,1-14,1,
19,42,42,Home / Non-institution,M,1-14,1,
19,43,43,Care Home,F,1-14,1,
19,43,43,Hospital,M,1-14,1,
19,44,44,Care Home,F,1-14,1,
19,44,44,Hospital,F,1-14,1,
19,45,45,Home / Non-institution,M,1-14,1,
19,47,47,Hospital,M,1-14,1,
19,48,48,Hospital,M,1-14,1,
19,49,49,Home / Non-institution,F,1-14,1,
19,49,49,Hospital,F,1-14,2,
19,49,49,Hospital,M,1-14,2,
19,51,51,Care Home,F,1-14,1,
19,51,51,Home / Non-institution,F,1-14,1,
19,51,51,Home / Non-institution,M,1-14,1,
19,51,51,Hospital,F,1-14,2,
19,51,51,Hospital,M,1-14,2,
19,52,52,Hospital,M,1-14,1,
19,1,1,Care Home,F,15-44,3,
19,1,1,Home / Non-institution,F,15-44,5,
19,1,1,Home / Non-institution,M,15-44,15,
19,1,1,Hospital,M,15-44,4,
19,1,1,Hospital,F,15-44,8,
19,2,2,Care Home,F,15-44,2,
19,2,2,Home / Non-institution,F,15-44,16,
19,2,2,Home / Non-institution,M,15-44,41,
19,2,2,Hospital,F,15-44,9,
19,2,2,Hospital,M,15-44,10,
19,3,3,Care Home,F,15-44,1,
19,3,3,Care Home,M,15-44,2,
19,3,3,Home / Non-institution,F,15-44,9,
19,3,3,Home / Non-institution,M,15-44,24,
19,3,3,Hospital,F,15-44,9,
19,3,3,Hospital,M,15-44,9,
19,3,3,Other institution,M,15-44,1,
19,4,4,Care Home,F,15-44,1,
19,4,4,Care Home,M,15-44,1,
19,4,4,Home / Non-institution,F,15-44,15,
19,4,4,Home / Non-institution,M,15-44,23,
19,4,4,Hospital,F,15-44,6,
19,4,4,Hospital,M,15-44,9,
19,5,5,Care Home,M,15-44,1,
19,5,5,Care Home,F,15-44,4,
19,5,5,Home / Non-institution,F,15-44,8,
19,5,5,Home / Non-institution,M,15-44,21,
19,5,5,Hospital,M,15-44,5,
19,5,5,Hospital,F,15-44,8,
19,6,6,Care Home,F,15-44,1,
19,6,6,Care Home,M,15-44,3,
19,6,6,Home / Non-institution,F,15-44,6,
19,6,6,Home / Non-institution,M,15-44,21,
19,6,6,Hospital,M,15-44,6,
19,6,6,Hospital,F,15-44,9,
19,6,6,Other institution,M,15-44,1,
19,7,7,Care Home,F,15-44,1,
19,7,7,Home / Non-institution,F,15-44,7,
19,7,7,Home / Non-institution,M,15-44,17,
19,7,7,Hospital,F,15-44,5,
19,7,7,Hospital,M,15-44,12,
19,7,7,Other institution,M,15-44,1,
19,8,8,Care Home,F,15-44,4,
19,8,8,Home / Non-institution,F,15-44,13,
19,8,8,Home / Non-institution,M,15-44,19,
19,8,8,Hospital,M,15-44,6,
19,8,8,Hospital,F,15-44,11,
19,8,8,Other institution,M,15-44,1,
19,9,9,Care Home,F,15-44,1,
19,9,9,Home / Non-institution,F,15-44,11,
19,9,9,Home / Non-institution,M,15-44,16,
19,9,9,Hospital,F,15-44,7,
19,9,9,Hospital,M,15-44,7,
19,9,9,Other institution,M,15-44,1,
19,10,10,Home / Non-institution,F,15-44,14,
19,10,10,Home / Non-institution,M,15-44,20,
19,10,10,Hospital,F,15-44,5,
19,10,10,Hospital,M,15-44,8,
19,11,11,Care Home,M,15-44,2,
19,11,11,Care Home,F,15-44,4,
19,11,11,Home / Non-institution,F,15-44,10,
19,11,11,Home / Non-institution,M,15-44,28,
19,11,11,Hospital,F,15-44,4,
19,11,11,Hospital,M,15-44,11,
19,12,12,Care Home,F,15-44,1,
19,12,12,Home / Non-institution,F,15-44,8,
19,12,12,Home / Non-institution,M,15-44,30,
19,12,12,Hospital,F,15-44,6,
19,12,12,Hospital,M,15-44,6,
19,13,13,Care Home,M,15-44,2,
19,13,13,Home / Non-institution,F,15-44,8,
19,13,13,Home / Non-institution,M,15-44,21,
19,13,13,Hospital,F,15-44,6,
19,13,13,Hospital,M,15-44,9,
19,14,14,Care Home,M,15-44,1,
19,14,14,Care Home,F,15-44,2,
19,14,14,Home / Non-institution,F,15-44,12,
19,14,14,Home / Non-institution,M,15-44,22,
19,14,14,Hospital,M,15-44,6,
19,14,14,Hospital,F,15-44,9,
19,15,15,Care Home,M,15-44,1,
19,15,15,Home / Non-institution,F,15-44,5,
19,15,15,Home / Non-institution,M,15-44,18,
19,15,15,Hospital,F,15-44,2,
19,15,15,Hospital,M,15-44,6,
19,16,16,Care Home,F,15-44,1,
19,16,16,Home / Non-institution,F,15-44,3,
19,16,16,Home / Non-institution,M,15-44,25,
19,16,16,Hospital,F,15-44,3,
19,16,16,Hospital,M,15-44,7,
19,17,17,Care Home,F,15-44,1,
19,17,17,Home / Non-institution,F,15-44,4,
19,17,17,Home / Non-institution,M,15-44,20,
19,17,17,Hospital,F,15-44,4,
19,17,17,Hospital,M,15-44,5,
19,18,18,Care Home,F,15-44,1,
19,18,18,Care Home,M,15-44,2,
19,18,18,Home / Non-institution,F,15-44,10,
19,18,18,Home / Non-institution,M,15-44,22,
19,18,18,Hospital,F,15-44,5,
19,18,18,Hospital,M,15-44,7,
19,19,19,Care Home,F,15-44,1,
19,19,19,Home / Non-institution,F,15-44,7,
19,19,19,Home / Non-institution,M,15-44,24,
19,19,19,Hospital,F,15-44,6,
19,19,19,Hospital,M,15-44,7,
19,20,20,Care Home,F,15-44,1,
19,20,20,Care Home,M,15-44,3,
19,20,20,Home / Non-institution,F,15-44,7,
19,20,20,Home / Non-institution,M,15-44,15,
19,20,20,Hospital,F,15-44,2,
19,20,20,Hospital,M,15-44,8,
19,21,21,Care Home,F,15-44,1,
19,21,21,Home / Non-institution,F,15-44,10,
19,21,21,Home / Non-institution,M,15-44,19,
19,21,21,Hospital,F,15-44,1,
19,21,21,Hospital,M,15-44,11,
19,21,21,Other institution,F,15-44,1,
19,22,22,Care Home,F,15-44,2,
19,22,22,Home / Non-institution,F,15-44,9,
19,22,22,Home / Non-institution,M,15-44,19,
19,22,22,Hospital,F,15-44,3,
19,22,22,Hospital,M,15-44,4,
19,22,22,Other institution,M,15-44,1,
19,23,23,Care Home,F,15-44,1,
19,23,23,Home / Non-institution,F,15-44,8,
19,23,23,Home / Non-institution,M,15-44,27,
19,23,23,Hospital,F,15-44,4,
19,23,23,Hospital,M,15-44,5,
19,23,23,Other institution,M,15-44,1,
19,24,24,Care Home,M,15-44,1,
19,24,24,Home / Non-institution,F,15-44,11,
19,24,24,Home / Non-institution,M,15-44,20,
19,24,24,Hospital,F,15-44,3,
19,24,24,Hospital,M,15-44,7,
19,25,25,Care Home,M,15-44,1,
19,25,25,Home / Non-institution,F,15-44,11,
19,25,25,Home / Non-institution,M,15-44,17,
19,25,25,Hospital,F,15-44,6,
19,25,25,Hospital,M,15-44,6,
19,25,25,Other institution,M,15-44,1,
19,26,26,Care Home,F,15-44,2,
19,26,26,Home / Non-institution,F,15-44,13,
19,26,26,Home / Non-institution,M,15-44,24,
19,26,26,Hospital,M,15-44,7,
19,26,26,Hospital,F,15-44,8,
19,27,27,Care Home,F,15-44,1,
19,27,27,Home / Non-institution,F,15-44,12,
19,27,27,Home / Non-institution,M,15-44,21,
19,27,27,Hospital,F,15-44,7,
19,27,27,Hospital,M,15-44,10,
19,28,28,Care Home,F,15-44,1,
19,28,28,Care Home,M,15-44,1,
19,28,28,Home / Non-institution,F,15-44,6,
19,28,28,Home / Non-institution,M,15-44,23,
19,28,28,Hospital,M,15-44,9,
19,28,28,Hospital,F,15-44,11,
19,29,29,Care Home,F,15-44,1,
19,29,29,Home / Non-institution,F,15-44,7,
19,29,29,Home / Non-institution,M,15-44,17,
19,29,29,Hospital,F,15-44,3,
19,29,29,Hospital,M,15-44,4,
19,30,30,Care Home,F,15-44,1,
19,30,30,Care Home,M,15-44,2,
19,30,30,Home / Non-institution,F,15-44,5,
19,30,30,Home / Non-institution,M,15-44,26,
19,30,30,Hospital,F,15-44,8,
19,30,30,Hospital,M,15-44,9,
19,31,31,Care Home,F,15-44,1,
19,31,31,Care Home,M,15-44,1,
19,31,31,Home / Non-institution,F,15-44,11,
19,31,31,Home / Non-institution,M,15-44,23,
19,31,31,Hospital,F,15-44,6,
19,31,31,Hospital,M,15-44,8,
19,32,32,Home / Non-institution,F,15-44,10,
19,32,32,Home / Non-institution,M,15-44,27,
19,32,32,Hospital,F,15-44,3,
19,32,32,Hospital,M,15-44,4,
19,32,32,Other institution,M,15-44,2,
19,33,33,Home / Non-institution,F,15-44,7,
19,33,33,Home / Non-institution,M,15-44,26,
19,33,33,Hospital,M,15-44,9,
19,33,33,Hospital,F,15-44,10,
19,34,34,Care Home,F,15-44,6,
19,34,34,Home / Non-institution,F,15-44,3,
19,34,34,Home / Non-institution,M,15-44,23,
19,34,34,Hospital,F,15-44,6,
19,34,34,Hospital,M,15-44,6,
19,34,34,Other institution,M,15-44,1,
19,35,35,Care Home,M,15-44,1,
19,35,35,Home / Non-institution,F,15-44,6,
19,35,35,Home / Non-institution,M,15-44,22,
19,35,35,Hospital,F,15-44,2,
19,35,35,Hospital,M,15-44,5,
19,36,36,Care Home,F,15-44,2,
19,36,36,Home / Non-institution,F,15-44,8,
19,36,36,Home / Non-institution,M,15-44,24,
19,36,36,Hospital,M,15-44,6,
19,36,36,Hospital,F,15-44,7,
19,37,37,Care Home,F,15-44,1,
19,37,37,Home / Non-institution,F,15-44,9,
19,37,37,Home / Non-institution,M,15-44,20,
19,37,37,Hospital,F,15-44,5,
19,37,37,Hospital,M,15-44,8,
19,38,38,Care Home,F,15-44,1,
19,38,38,Care Home,M,15-44,1,
19,38,38,Home / Non-institution,F,15-44,2,
19,38,38,Home / Non-institution,M,15-44,19,
19,38,38,Hospital,M,15-44,4,
19,38,38,Hospital,F,15-44,10,
19,39,39,Home / Non-institution,F,15-44,10,
19,39,39,Home / Non-institution,M,15-44,25,
19,39,39,Hospital,M,15-44,2,
19,39,39,Hospital,F,15-44,3,
19,40,40,Care Home,M,15-44,2,
19,40,40,Home / Non-institution,F,15-44,7,
19,40,40,Home / Non-institution,M,15-44,23,
19,40,40,Hospital,M,15-44,4,
19,40,40,Hospital,F,15-44,5,
19,41,41,Care Home,F,15-44,2,
19,41,41,Care Home,M,15-44,2,
19,41,41,Home / Non-institution,F,15-44,7,
19,41,41,Home / Non-institution,M,15-44,18,
19,41,41,Hospital,F,15-44,7,
19,41,41,Hospital,M,15-44,7,
19,42,42,Care Home,M,15-44,2,
19,42,42,Home / Non-institution,F,15-44,9,
19,42,42,Home / Non-institution,M,15-44,13,
19,42,42,Hospital,M,15-44,3,
19,42,42,Hospital,F,15-44,8,
19,43,43,Care Home,M,15-44,1,
19,43,43,Care Home,F,15-44,2,
19,43,43,Home / Non-institution,M,15-44,14,
19,43,43,Home / Non-institution,F,15-44,20,
19,43,43,Hospital,M,15-44,6,
19,43,43,Hospital,F,15-44,8,
19,44,44,Care Home,M,15-44,1,
19,44,44,Home / Non-institution,F,15-44,6,
19,44,44,Home / Non-institution,M,15-44,17,
19,44,44,Hospital,F,15-44,9,
19,44,44,Hospital,M,15-44,9,
19,45,45,Care Home,M,15-44,3,
19,45,45,Home / Non-institution,F,15-44,5,
19,45,45,Home / Non-institution,M,15-44,21,
19,45,45,Hospital,F,15-44,4,
19,45,45,Hospital,M,15-44,9,
19,45,45,Other institution,M,15-44,1,
19,46,46,Care Home,F,15-44,1,
19,46,46,Care Home,M,15-44,1,
19,46,46,Home / Non-institution,F,15-44,5,
19,46,46,Home / Non-institution,M,15-44,22,
19,46,46,Hospital,M,15-44,8,
19,46,46,Other institution,M,15-44,2,
19,47,47,Care Home,F,15-44,2,
19,47,47,Home / Non-institution,F,15-44,10,
19,47,47,Home / Non-institution,M,15-44,21,
19,47,47,Hospital,F,15-44,8,
19,47,47,Hospital,M,15-44,8,
19,47,47,Other institution,M,15-44,1,
19,48,48,Care Home,F,15-44,1,
19,48,48,Care Home,M,15-44,2,
19,48,48,Home / Non-institution,F,15-44,5,
19,48,48,Home / Non-institution,M,15-44,26,
19,48,48,Hospital,M,15-44,3,
19,48,48,Hospital,F,15-44,4,
19,49,49,Care Home,F,15-44,1,
19,49,49,Care Home,M,15-44,2,
19,49,49,Home / Non-institution,F,15-44,7,
19,49,49,Home / Non-institution,M,15-44,16,
19,49,49,Hospital,F,15-44,4,
19,49,49,Hospital,M,15-44,6,
19,50,50,Care Home,F,15-44,2,
19,50,50,Care Home,M,15-44,5,
19,50,50,Home / Non-institution,F,15-44,8,
19,50,50,Home / Non-institution,M,15-44,25,
19,50,50,Hospital,F,15-44,2,
19,50,50,Hospital,M,15-44,6,
19,50,50,Other institution,M,15-44,2,
19,51,51,Care Home,F,15-44,1,
19,51,51,Home / Non-institution,F,15-44,11,
19,51,51,Home / Non-institution,M,15-44,19,
19,51,51,Hospital,F,15-44,3,
19,51,51,Hospital,M,15-44,9,
19,52,52,Care Home,M,15-44,1,
19,52,52,Home / Non-institution,F,15-44,6,
19,52,52,Home / Non-institution,M,15-44,10,
19,52,52,Hospital,F,15-44,2,
19,52,52,Hospital,M,15-44,7,
19,1,1,Care Home,F,45-64,7,
19,1,1,Care Home,M,45-64,9,
19,1,1,Home / Non-institution,F,45-64,19,
19,1,1,Home / Non-institution,M,45-64,34,
19,1,1,Hospital,F,45-64,28,
19,1,1,Hospital,M,45-64,38,
19,2,2,Care Home,F,45-64,6,
19,2,2,Care Home,M,45-64,9,
19,2,2,Home / Non-institution,F,45-64,34,
19,2,2,Home / Non-institution,M,45-64,63,
19,2,2,Hospital,F,45-64,44,
19,2,2,Hospital,M,45-64,49,
19,3,3,Care Home,F,45-64,3,
19,3,3,Care Home,M,45-64,7,
19,3,3,Home / Non-institution,F,45-64,35,
19,3,3,Home / Non-institution,M,45-64,51,
19,3,3,Hospital,F,45-64,40,
19,3,3,Hospital,M,45-64,55,
19,4,4,Care Home,M,45-64,11,
19,4,4,Care Home,F,45-64,12,
19,4,4,Home / Non-institution,F,45-64,28,
19,4,4,Home / Non-institution,M,45-64,64,
19,4,4,Hospital,F,45-64,32,
19,4,4,Hospital,M,45-64,43,
19,5,5,Care Home,F,45-64,8,
19,5,5,Care Home,M,45-64,8,
19,5,5,Home / Non-institution,F,45-64,31,
19,5,5,Home / Non-institution,M,45-64,58,
19,5,5,Hospital,F,45-64,33,
19,5,5,Hospital,M,45-64,41,
19,6,6,Care Home,M,45-64,9,
19,6,6,Care Home,F,45-64,13,
19,6,6,Home / Non-institution,F,45-64,23,
19,6,6,Home / Non-institution,M,45-64,56,
19,6,6,Hospital,F,45-64,29,
19,6,6,Hospital,M,45-64,58,
19,7,7,Care Home,F,45-64,7,
19,7,7,Care Home,M,45-64,8,
19,7,7,Home / Non-institution,F,45-64,29,
19,7,7,Home / Non-institution,M,45-64,46,
19,7,7,Hospital,F,45-64,33,
19,7,7,Hospital,M,45-64,49,
19,7,7,Other institution,F,45-64,1,
19,8,8,Care Home,F,45-64,3,
19,8,8,Care Home,M,45-64,8,
19,8,8,Home / Non-institution,F,45-64,32,
19,8,8,Home / Non-institution,M,45-64,49,
19,8,8,Hospital,F,45-64,38,
19,8,8,Hospital,M,45-64,44,
19,9,9,Care Home,F,45-64,9,
19,9,9,Care Home,M,45-64,9,
19,9,9,Home / Non-institution,F,45-64,28,
19,9,9,Home / Non-institution,M,45-64,58,
19,9,9,Hospital,F,45-64,31,
19,9,9,Hospital,M,45-64,43,
19,10,10,Care Home,M,45-64,3,
19,10,10,Care Home,F,45-64,5,
19,10,10,Home / Non-institution,F,45-64,34,
19,10,10,Home / Non-institution,M,45-64,40,
19,10,10,Hospital,F,45-64,31,
19,10,10,Hospital,M,45-64,33,
19,10,10,Other institution,M,45-64,1,
19,11,11,Care Home,F,45-64,8,
19,11,11,Care Home,M,45-64,11,
19,11,11,Home / Non-institution,F,45-64,21,
19,11,11,Home / Non-institution,M,45-64,50,
19,11,11,Hospital,M,45-64,33,
19,11,11,Hospital,F,45-64,39,
19,12,12,Care Home,F,45-64,2,
19,12,12,Care Home,M,45-64,13,
19,12,12,Home / Non-institution,F,45-64,24,
19,12,12,Home / Non-institution,M,45-64,39,
19,12,12,Hospital,F,45-64,29,
19,12,12,Hospital,M,45-64,47,
19,13,13,Care Home,M,45-64,4,
19,13,13,Care Home,F,45-64,5,
19,13,13,Home / Non-institution,F,45-64,30,
19,13,13,Home / Non-institution,M,45-64,49,
19,13,13,Hospital,F,45-64,26,
19,13,13,Hospital,M,45-64,37,
19,13,13,Other institution,M,45-64,1,
19,14,14,Care Home,M,45-64,6,
19,14,14,Care Home,F,45-64,7,
19,14,14,Home / Non-institution,F,45-64,22,
19,14,14,Home / Non-institution,M,45-64,44,
19,14,14,Hospital,F,45-64,27,
19,14,14,Hospital,M,45-64,41,
19,14,14,Other institution,F,45-64,1,
19,15,15,Care Home,F,45-64,7,
19,15,15,Care Home,M,45-64,11,
19,15,15,Home / Non-institution,F,45-64,24,
19,15,15,Home / Non-institution,M,45-64,51,
19,15,15,Hospital,F,45-64,28,
19,15,15,Hospital,M,45-64,39,
19,15,15,Other institution,F,45-64,1,
19,16,16,Care Home,M,45-64,3,
19,16,16,Care Home,F,45-64,9,
19,16,16,Home / Non-institution,F,45-64,16,
19,16,16,Home / Non-institution,M,45-64,43,
19,16,16,Hospital,M,45-64,27,
19,16,16,Hospital,F,45-64,28,
19,17,17,Care Home,M,45-64,10,
19,17,17,Care Home,F,45-64,11,
19,17,17,Home / Non-institution,F,45-64,25,
19,17,17,Home / Non-institution,M,45-64,38,
19,17,17,Hospital,F,45-64,38,
19,17,17,Hospital,M,45-64,39,
19,17,17,Other institution,F,45-64,1,
19,18,18,Care Home,M,45-64,9,
19,18,18,Care Home,F,45-64,10,
19,18,18,Home / Non-institution,F,45-64,24,
19,18,18,Home / Non-institution,M,45-64,52,
19,18,18,Hospital,F,45-64,32,
19,18,18,Hospital,M,45-64,48,
19,19,19,Care Home,F,45-64,8,
19,19,19,Care Home,M,45-64,12,
19,19,19,Home / Non-institution,F,45-64,19,
19,19,19,Home / Non-institution,M,45-64,42,
19,19,19,Hospital,F,45-64,30,
19,19,19,Hospital,M,45-64,39,
19,20,20,Care Home,F,45-64,6,
19,20,20,Care Home,M,45-64,7,
19,20,20,Home / Non-institution,F,45-64,20,
19,20,20,Home / Non-institution,M,45-64,41,
19,20,20,Hospital,F,45-64,36,
19,20,20,Hospital,M,45-64,49,
19,21,21,Care Home,F,45-64,3,
19,21,21,Care Home,M,45-64,9,
19,21,21,Home / Non-institution,F,45-64,18,
19,21,21,Home / Non-institution,M,45-64,44,
19,21,21,Hospital,F,45-64,29,
19,21,21,Hospital,M,45-64,35,
19,21,21,Other institution,M,45-64,1,
19,22,22,Care Home,F,45-64,9,
19,22,22,Care Home,M,45-64,12,
19,22,22,Home / Non-institution,F,45-64,30,
19,22,22,Home / Non-institution,M,45-64,38,
19,22,22,Hospital,F,45-64,33,
19,22,22,Hospital,M,45-64,37,
19,22,22,Other institution,F,45-64,1,
19,23,23,Care Home,M,45-64,4,
19,23,23,Care Home,F,45-64,6,
19,23,23,Home / Non-institution,F,45-64,39,
19,23,23,Home / Non-institution,M,45-64,54,
19,23,23,Hospital,F,45-64,32,
19,23,23,Hospital,M,45-64,37,
19,23,23,Other institution,F,45-64,1,
19,24,24,Care Home,M,45-64,7,
19,24,24,Care Home,F,45-64,8,
19,24,24,Home / Non-institution,F,45-64,25,
19,24,24,Home / Non-institution,M,45-64,47,
19,24,24,Hospital,F,45-64,32,
19,24,24,Hospital,M,45-64,32,
19,24,24,Other institution,F,45-64,1,
19,25,25,Care Home,M,45-64,7,
19,25,25,Care Home,F,45-64,13,
19,25,25,Home / Non-institution,F,45-64,16,
19,25,25,Home / Non-institution,M,45-64,27,
19,25,25,Hospital,M,45-64,37,
19,25,25,Hospital,F,45-64,38,
19,26,26,Care Home,F,45-64,6,
19,26,26,Care Home,M,45-64,6,
19,26,26,Home / Non-institution,F,45-64,27,
19,26,26,Home / Non-institution,M,45-64,43,
19,26,26,Hospital,F,45-64,31,
19,26,26,Hospital,M,45-64,36,
19,26,26,Other institution,F,45-64,1,
19,27,27,Care Home,F,45-64,5,
19,27,27,Care Home,M,45-64,9,
19,27,27,Home / Non-institution,F,45-64,23,
19,27,27,Home / Non-institution,M,45-64,42,
19,27,27,Hospital,M,45-64,24,
19,27,27,Hospital,F,45-64,32,
19,28,28,Care Home,M,45-64,3,
19,28,28,Care Home,F,45-64,8,
19,28,28,Home / Non-institution,F,45-64,26,
19,28,28,Home / Non-institution,M,45-64,50,
19,28,28,Hospital,F,45-64,38,
19,28,28,Hospital,M,45-64,46,
19,28,28,Other institution,M,45-64,1,
19,29,29,Care Home,M,45-64,6,
19,29,29,Care Home,F,45-64,20,
19,29,29,Home / Non-institution,F,45-64,14,
19,29,29,Home / Non-institution,M,45-64,35,
19,29,29,Hospital,F,45-64,28,
19,29,29,Hospital,M,45-64,29,
19,29,29,Other institution,M,45-64,1,
19,30,30,Care Home,F,45-64,8,
19,30,30,Care Home,M,45-64,10,
19,30,30,Home / Non-institution,F,45-64,19,
19,30,30,Home / Non-institution,M,45-64,45,
19,30,30,Hospital,F,45-64,27,
19,30,30,Hospital,M,45-64,36,
19,30,30,Other institution,M,45-64,1,
19,31,31,Care Home,M,45-64,6,
19,31,31,Care Home,F,45-64,9,
19,31,31,Home / Non-institution,F,45-64,25,
19,31,31,Home / Non-institution,M,45-64,41,
19,31,31,Hospital,F,45-64,29,
19,31,31,Hospital,M,45-64,33,
19,32,32,Care Home,F,45-64,3,
19,32,32,Care Home,M,45-64,8,
19,32,32,Home / Non-institution,F,45-64,27,
19,32,32,Home / Non-institution,M,45-64,39,
19,32,32,Hospital,F,45-64,29,
19,32,32,Hospital,M,45-64,34,
19,32,32,Other institution,M,45-64,2,
19,33,33,Care Home,M,45-64,4,
19,33,33,Care Home,F,45-64,8,
19,33,33,Home / Non-institution,F,45-64,21,
19,33,33,Home / Non-institution,M,45-64,46,
19,33,33,Hospital,F,45-64,27,
19,33,33,Hospital,M,45-64,40,
19,33,33,Other institution,F,45-64,2,
19,34,34,Care Home,M,45-64,9,
