Year,Week,Location,Sex,Age,Deaths
16,28,Home / Non-institution,F,0,1
16,28,Hospital,M,0,1
16,28,Hospital,F,0,3
16,29,Care Home,M,0,1
16,29,Hospital,M,0,2
16,29,Hospital,F,0,4
16,30,Hospital,M,0,1
16,30,Hospital,F,0,5
16,31,Hospital,M,0,1
16,32,Home / Non-institution,F,0,1
16,32,Hospital,M,0,1
16,33,Hospital,M,0,1
16,33,Hospital,F,0,2
16,34,Hospital,F,0,1
16,35,Hospital,F,0,1
16,35,Hospital,M,0,1
16,36,Hospital,F,0,1
16,36,Hospital,M,0,3
16,37,Hospital,F,0,1
16,37,Hospital,M,0,2
16,39,Hospital,F,0,1
16,39,Hospital,M,0,1
16,40,Hospital,F,0,1
16,41,Home / Non-institution,F,0,1
16,41,Hospital,M,0,1
16,43,Hospital,F,0,2
16,43,Hospital,M,0,2
16,44,Hospital,F,0,1
16,44,Hospital,M,0,1
16,45,Home / Non-institution,M,0,1
16,45,Hospital,M,0,2
16,46,Home / Non-institution,F,0,1
16,46,Hospital,F,0,1
16,46,Hospital,M,0,2
16,47,Hospital,M,0,1
16,47,Hospital,F,0,2
16,48,Hospital,F,0,3
16,48,Hospital,M,0,3
16,49,Hospital,F,0,1
16,49,Hospital,M,0,1
16,51,Hospital,F,0,1
16,51,Hospital,M,0,2
16,52,Care Home,F,0,1
16,52,Hospital,F,0,3
16,52,Hospital,M,0,4
17,1,Hospital,F,0,3
17,1,Hospital,M,0,3
17,2,Hospital,F,0,1
17,2,Hospital,M,0,1
17,3,Hospital,M,0,5
17,4,Hospital,F,0,1
17,4,Hospital,M,0,4
17,5,Care Home,M,0,1
17,5,Hospital,F,0,2
17,6,Hospital,F,0,4
17,7,Hospital,M,0,1
17,7,Hospital,F,0,2
17,8,Hospital,F,0,1
17,8,Hospital,M,0,2
17,9,Hospital,F,0,1
17,10,Care Home,F,0,1
17,10,Hospital,M,0,1
17,11,Hospital,F,0,1
17,11,Hospital,M,0,3
17,12,Hospital,F,0,1
17,12,Hospital,M,0,1
17,13,Hospital,F,0,2
17,13,Hospital,M,0,2
17,14,Hospital,F,0,1
17,14,Hospital,M,0,1
17,15,Hospital,F,0,2
17,15,Hospital,M,0,2
17,16,Hospital,F,0,2
17,16,Hospital,M,0,3
17,17,Hospital,F,0,2
17,18,Home / Non-institution,M,0,1
17,18,Hospital,M,0,2
17,18,Hospital,F,0,3
17,19,Hospital,M,0,3
17,19,Hospital,F,0,4
17,20,Home / Non-institution,M,0,1
17,20,Hospital,F,0,2
17,20,Hospital,M,0,2
17,21,Hospital,F,0,1
17,21,Hospital,M,0,1
17,22,Hospital,F,0,3
17,23,Hospital,F,0,1
17,23,Hospital,M,0,5
17,24,Hospital,M,0,2
17,25,Hospital,M,0,2
17,27,Hospital,F,0,2
17,27,Hospital,M,0,4
17,28,Hospital,M,0,1
17,29,Hospital,F,0,1
17,29,Hospital,M,0,1
17,30,Hospital,F,0,1
17,30,Hospital,M,0,1
17,31,Home / Non-institution,M,0,1
17,31,Hospital,F,0,1
17,31,Hospital,M,0,5
17,32,Hospital,M,0,1
17,32,Hospital,F,0,2
17,33,Hospital,M,0,1
17,33,Hospital,F,0,2
17,34,Home / Non-institution,M,0,1
17,34,Hospital,M,0,2
17,35,Hospital,F,0,1
17,36,Hospital,F,0,2
17,36,Hospital,M,0,3
17,37,Hospital,M,0,1
17,38,Hospital,M,0,5
17,39,Home / Non-institution,M,0,1
17,40,Home / Non-institution,F,0,1
17,40,Hospital,F,0,1
17,40,Hospital,M,0,1
17,41,Home / Non-institution,M,0,1
17,41,Hospital,F,0,1
17,41,Hospital,M,0,6
17,42,Care Home,F,0,1
17,42,Home / Non-institution,F,0,1
17,42,Hospital,F,0,1
17,42,Hospital,M,0,1
17,43,Home / Non-institution,M,0,1
17,44,Home / Non-institution,F,0,2
17,44,Hospital,M,0,1
17,44,Hospital,F,0,2
17,45,Hospital,F,0,1
17,45,Hospital,M,0,1
17,46,Hospital,F,0,2
17,46,Hospital,M,0,3
17,47,Hospital,F,0,2
17,47,Hospital,M,0,2
17,48,Hospital,F,0,1
17,48,Hospital,M,0,2
17,49,Hospital,F,0,1
17,49,Hospital,M,0,2
17,50,Hospital,M,0,1
17,50,Hospital,F,0,3
17,51,Care Home,M,0,1
17,51,Hospital,F,0,1
17,51,Hospital,M,0,1
17,52,Hospital,M,0,1
18,1,Hospital,F,0,1
18,2,Home / Non-institution,M,0,2
18,2,Hospital,F,0,2
18,2,Hospital,M,0,4
18,3,Hospital,F,0,1
18,4,Hospital,M,0,2
18,4,Hospital,F,0,4
18,5,Hospital,F,0,1
18,5,Hospital,M,0,2
18,6,Care Home,F,0,1
18,6,Hospital,F,0,2
18,6,Hospital,M,0,3
18,7,Hospital,F,0,2
18,8,Hospital,F,0,2
18,9,Home / Non-institution,F,0,1
18,9,Hospital,M,0,5
18,10,Hospital,F,0,3
18,11,Hospital,M,0,1
18,12,Hospital,M,0,1
18,12,Hospital,F,0,3
18,13,Hospital,F,0,1
18,14,Hospital,M,0,4
18,15,Hospital,F,0,1
18,15,Hospital,M,0,3
18,16,Care Home,M,0,1
18,16,Home / Non-institution,M,0,1
18,16,Hospital,M,0,1
18,16,Hospital,F,0,4
18,17,Hospital,F,0,1
18,17,Hospital,M,0,1
18,18,Home / Non-institution,M,0,1
18,18,Hospital,M,0,2
18,18,Hospital,F,0,3
18,19,Hospital,M,0,1
18,20,Hospital,M,0,1
18,20,Hospital,F,0,2
18,21,Hospital,F,0,1
18,21,Hospital,M,0,1
18,22,Hospital,F,0,1
18,22,Hospital,M,0,1
18,24,Hospital,F,0,2
18,25,Hospital,F,0,1
18,26,Hospital,F,0,1
18,27,Home / Non-institution,F,0,1
18,27,Hospital,F,0,1
18,27,Hospital,M,0,1
18,28,Home / Non-institution,M,0,1
18,28,Hospital,M,0,1
18,28,Hospital,F,0,2
18,29,Home / Non-institution,M,0,1
18,29,Hospital,F,0,1
18,29,Hospital,M,0,1
18,30,Hospital,F,0,1
18,30,Hospital,M,0,3
18,31,Home / Non-institution,M,0,1
18,32,Hospital,F,0,1
18,33,Hospital,F,0,3
18,33,Hospital,M,0,4
18,35,Hospital,M,0,2
18,36,Home / Non-institution,F,0,1
18,36,Hospital,M,0,2
18,37,Hospital,F,0,2
18,37,Hospital,M,0,4
18,38,Hospital,M,0,1
18,38,Hospital,F,0,3
18,39,Hospital,F,0,1
18,39,Hospital,M,0,1
18,40,Hospital,F,0,1
18,41,Home / Non-institution,F,0,1
18,41,Hospital,F,0,1
18,41,Hospital,M,0,2
18,42,Hospital,F,0,2
18,42,Hospital,M,0,2
18,43,Home / Non-institution,M,0,1
18,43,Hospital,F,0,1
18,43,Hospital,M,0,2
18,44,Hospital,F,0,3
18,45,Home / Non-institution,F,0,1
18,45,Hospital,M,0,1
18,45,Hospital,F,0,2
18,46,Hospital,F,0,1
18,47,Home / Non-institution,M,0,1
18,47,Hospital,F,0,1
18,47,Hospital,M,0,4
18,49,Hospital,F,0,1
18,50,Care Home,F,0,2
18,50,Home / Non-institution,M,0,1
18,50,Hospital,F,0,1
18,50,Hospital,M,0,1
18,51,Hospital,M,0,1
18,51,Hospital,F,0,3
18,52,Hospital,F,0,1
18,52,Hospital,M,0,5
19,1,Care Home,M,0,1
19,1,Hospital,F,0,1
19,1,Hospital,M,0,2
19,2,Home / Non-institution,M,0,1
19,2,Hospital,M,0,3
19,3,Hospital,F,0,2
19,3,Hospital,M,0,3
19,4,Home / Non-institution,M,0,1
19,4,Hospital,M,0,1
19,5,Hospital,F,0,1
19,5,Hospital,M,0,3
19,6,Hospital,M,0,3
19,6,Hospital,F,0,4
19,7,Hospital,F,0,2
19,7,Hospital,M,0,3
19,8,Hospital,F,0,1
19,8,Hospital,M,0,1
19,9,Hospital,F,0,1
19,9,Hospital,M,0,4
19,10,Hospital,M,0,1
19,10,Hospital,F,0,2
19,11,Hospital,F,0,1
19,11,Hospital,M,0,1
19,12,Home / Non-institution,F,0,1
19,12,Hospital,F,0,1
19,12,Hospital,M,0,4
19,13,Hospital,F,0,1
19,14,Hospital,F,0,2
19,15,Hospital,M,0,1
19,15,Hospital,F,0,3
19,16,Hospital,F,0,1
19,17,Hospital,F,0,1
19,17,Hospital,M,0,2
19,18,Hospital,M,0,1
19,18,Hospital,F,0,2
19,19,Hospital,M,0,1
19,20,Hospital,M,0,3
19,21,Home / Non-institution,F,0,1
19,21,Hospital,F,0,1
19,21,Hospital,M,0,2
19,22,Hospital,F,0,2
19,22,Hospital,M,0,2
19,23,Hospital,F,0,1
19,23,Hospital,M,0,1
19,25,Hospital,M,0,1
19,26,Care Home,M,0,1
19,26,Hospital,M,0,2
19,27,Hospital,F,0,1
19,27,Hospital,M,0,1
19,28,Care Home,F,0,1
19,28,Care Home,M,0,1
19,28,Hospital,F,0,1
19,28,Hospital,M,0,2
19,29,Hospital,F,0,1
19,29,Hospital,M,0,1
19,30,Hospital,F,0,1
19,30,Hospital,M,0,3
19,31,Hospital,F,0,2
19,32,Home / Non-institution,F,0,1
19,32,Hospital,M,0,1
19,33,Hospital,F,0,1
19,33,Hospital,M,0,4
19,34,Hospital,M,0,4
19,35,Hospital,M,0,6
19,36,Hospital,F,0,1
19,36,Hospital,M,0,4
19,37,Hospital,F,0,1
19,37,Hospital,M,0,1
19,38,Hospital,F,0,2
19,38,Hospital,M,0,2
19,39,Hospital,M,0,1
19,39,Hospital,F,0,2
19,40,Hospital,M,0,1
19,41,Hospital,F,0,2
19,41,Hospital,M,0,3
19,42,Hospital,F,0,1
19,43,Care Home,M,0,1
19,43,Home / Non-institution,F,0,1
19,43,Hospital,F,0,1
19,43,Hospital,M,0,3
19,44,Hospital,F,0,1
19,44,Hospital,M,0,2
19,45,Home / Non-institution,M,0,1
19,45,Hospital,M,0,1
19,46,Hospital,M,0,1
19,46,Hospital,F,0,2
19,47,Hospital,M,0,1
19,47,Hospital,F,0,2
19,48,Home / Non-institution,F,0,1
19,49,Hospital,F,0,1
19,49,Hospital,M,0,1
19,50,Hospital,M,0,3
19,51,Home / Non-institution,M,0,1
19,51,Hospital,M,0,1
19,51,Hospital,F,0,2
19,52,Home / Non-institution,M,0,1
19,52,Hospital,M,0,2
15,2,Hospital,F,1-14,1
15,2,Hospital,M,1-14,3
15,3,Hospital,M,1-14,2
15,4,Home / Non-institution,F,1-14,1
15,5,Care Home,M,1-14,1
15,5,Hospital,F,1-14,1
15,5,Hospital,M,1-14,2
15,6,Care Home,M,1-14,1
15,6,Hospital,M,1-14,1
15,8,Home / Non-institution,F,1-14,1
15,8,Hospital,M,1-14,1
15,9,Care Home,M,1-14,1
15,9,Home / Non-institution,F,1-14,1
15,9,Hospital,M,1-14,2
15,10,Hospital,F,1-14,1
15,10,Hospital,M,1-14,2
15,12,Home / Non-institution,F,1-14,1
15,12,Home / Non-institution,M,1-14,1
15,13,Hospital,M,1-14,1
15,14,Home / Non-institution,F,1-14,1
15,14,Hospital,F,1-14,1
15,15,Care Home,M,1-14,1
15,15,Home / Non-institution,F,1-14,1
15,15,Hospital,F,1-14,2
15,18,Hospital,M,1-14,1
15,19,Home / Non-institution,M,1-14,1
15,19,Hospital,F,1-14,1
15,20,Hospital,M,1-14,1
15,22,Hospital,F,1-14,1
15,23,Hospital,M,1-14,1
15,24,Home / Non-institution,M,1-14,1
15,27,Hospital,M,1-14,1
15,28,Home / Non-institution,M,1-14,1
15,28,Hospital,M,1-14,1
15,29,Hospital,M,1-14,1
15,30,Home / Non-institution,M,1-14,1
15,30,Hospital,F,1-14,1
15,31,Hospital,M,1-14,1
15,32,Hospital,M,1-14,2
15,33,Hospital,F,1-14,1
15,34,Hospital,F,1-14,1
15,36,Hospital,M,1-14,2
15,37,Care Home,M,1-14,1
15,37,Hospital,M,1-14,1
15,38,Home / Non-institution,F,1-14,1
15,38,Home / Non-institution,M,1-14,1
15,39,Care Home,M,1-14,1
15,40,Hospital,M,1-14,1
15,42,Hospital,F,1-14,1
15,44,Home / Non-institution,M,1-14,1
15,44,Hospital,F,1-14,1
15,45,Hospital,F,1-14,1
15,45,Hospital,M,1-14,2
15,46,Hospital,F,1-14,1
15,47,Hospital,M,1-14,1
15,49,Hospital,F,1-14,1
15,49,Hospital,M,1-14,1
15,50,Care Home,M,1-14,1
15,52,Home / Non-institution,M,1-14,1
15,53,Home / Non-institution,F,1-14,1
16,1,Hospital,F,1-14,1
16,1,Hospital,M,1-14,1
16,2,Home / Non-institution,M,1-14,1
16,2,Hospital,F,1-14,1
16,3,Hospital,M,1-14,1
16,4,Hospital,M,1-14,1
16,5,Hospital,F,1-14,1
16,5,Hospital,M,1-14,1
16,7,Hospital,M,1-14,2
16,8,Home / Non-institution,M,1-14,1
16,8,Hospital,F,1-14,1
16,9,Home / Non-institution,F,1-14,1
16,9,Hospital,F,1-14,1
16,9,Hospital,M,1-14,1
16,10,Hospital,M,1-14,2
16,12,Home / Non-institution,M,1-14,1
16,12,Hospital,F,1-14,1
16,12,Hospital,M,1-14,3
16,13,Care Home,F,1-14,1
16,13,Home / Non-institution,F,1-14,1
16,13,Hospital,F,1-14,1
16,13,Hospital,M,1-14,1
16,14,Hospital,M,1-14,1
16,15,Home / Non-institution,M,1-14,1
16,16,Home / Non-institution,F,1-14,1
16,16,Home / Non-institution,M,1-14,1
16,16,Hospital,M,1-14,1
16,16,Hospital,F,1-14,2
16,17,Home / Non-institution,F,1-14,1
16,17,Hospital,F,1-14,1
16,17,Hospital,M,1-14,1
16,18,Hospital,F,1-14,1
16,19,Care Home,M,1-14,1
16,19,Care Home,F,1-14,2
16,20,Hospital,M,1-14,1
16,21,Hospital,F,1-14,1
16,21,Hospital,M,1-14,1
16,22,Home / Non-institution,M,1-14,2
16,22,Hospital,F,1-14,1
16,23,Home / Non-institution,M,1-14,1
16,24,Home / Non-institution,M,1-14,1
16,24,Hospital,M,1-14,1
16,25,Care Home,M,1-14,1
16,25,Hospital,M,1-14,1
16,28,Home / Non-institution,F,1-14,1
16,28,Home / Non-institution,M,1-14,1
16,28,Hospital,F,1-14,1
16,28,Hospital,M,1-14,1
16,29,Home / Non-institution,M,1-14,1
16,30,Home / Non-institution,M,1-14,1
16,31,Hospital,M,1-14,1
16,32,Home / Non-institution,M,1-14,2
16,32,Hospital,F,1-14,1
16,33,Hospital,F,1-14,1
16,34,Home / Non-institution,M,1-14,1
16,34,Hospital,F,1-14,1
16,34,Hospital,M,1-14,2
16,35,Hospital,F,1-14,1
16,35,Hospital,M,1-14,1
16,36,Care Home,F,1-14,1
16,36,Hospital,F,1-14,1
16,36,Hospital,M,1-14,2
16,42,Home / Non-institution,F,1-14,2
16,42,Hospital,M,1-14,1
16,43,Home / Non-institution,M,1-14,1
16,43,Hospital,M,1-14,1
16,44,Home / Non-institution,F,1-14,1
16,44,Hospital,M,1-14,1
16,45,Home / Non-institution,F,1-14,2
16,46,Hospital,F,1-14,2
16,47,Hospital,M,1-14,1
16,48,Care Home,F,1-14,1
16,49,Hospital,F,1-14,2
16,49,Hospital,M,1-14,4
16,50,Hospital,F,1-14,2
16,51,Hospital,F,1-14,1
16,51,Hospital,M,1-14,1
16,52,Hospital,F,1-14,1
16,52,Hospital,M,1-14,1
17,2,Hospital,F,1-14,1
17,3,Hospital,F,1-14,1
17,4,Care Home,M,1-14,1
17,4,Hospital,F,1-14,1
17,4,Hospital,M,1-14,1
17,5,Care Home,M,1-14,2
17,6,Hospital,M,1-14,1
17,6,Hospital,F,1-14,2
17,7,Hospital,F,1-14,2
17,8,Home / Non-institution,M,1-14,2
17,8,Hospital,M,1-14,1
17,9,Home / Non-institution,M,1-14,1
17,9,Hospital,F,1-14,1
17,10,Home / Non-institution,M,1-14,1
17,10,Hospital,F,1-14,1
17,12,Home / Non-institution,F,1-14,1
17,12,Hospital,M,1-14,1
17,14,Hospital,F,1-14,1
17,16,Home / Non-institution,F,1-14,1
17,16,Home / Non-institution,M,1-14,1
17,16,Hospital,M,1-14,1
17,17,Hospital,M,1-14,1
17,18,Hospital,M,1-14,1
17,19,Hospital,F,1-14,1
17,19,Hospital,M,1-14,2
17,20,Home / Non-institution,F,1-14,1
17,20,Home / Non-institution,M,1-14,1
17,23,Care Home,M,1-14,1
17,23,Hospital,F,1-14,2
17,24,Home / Non-institution,F,1-14,1
17,24,Home / Non-institution,M,1-14,1
17,24,Hospital,M,1-14,1
17,25,Care Home,F,1-14,1
17,25,Care Home,M,1-14,1
17,25,Home / Non-institution,F,1-14,1
17,25,Home / Non-institution,M,1-14,1
17,25,Hospital,M,1-14,1
17,26,Hospital,M,1-14,1
17,27,Home / Non-institution,F,1-14,1
17,27,Hospital,F,1-14,2
17,28,Home / Non-institution,F,1-14,2
17,30,Home / Non-institution,F,1-14,1
17,31,Care Home,F,1-14,1
17,31,Hospital,M,1-14,1
17,32,Home / Non-institution,F,1-14,1
17,32,Hospital,M,1-14,2
17,34,Hospital,F,1-14,1
17,36,Hospital,F,1-14,1
17,37,Home / Non-institution,F,1-14,1
17,37,Home / Non-institution,M,1-14,1
17,38,Home / Non-institution,F,1-14,1
17,38,Home / Non-institution,M,1-14,1
17,38,Hospital,F,1-14,1
17,40,Hospital,M,1-14,1
17,41,Hospital,F,1-14,1
17,42,Home / Non-institution,M,1-14,2
17,42,Hospital,M,1-14,1
17,43,Home / Non-institution,F,1-14,1
17,43,Home / Non-institution,M,1-14,1
17,43,Hospital,M,1-14,1
17,44,Care Home,F,1-14,1
17,44,Home / Non-institution,F,1-14,1
17,45,Home / Non-institution,M,1-14,1
17,45,Hospital,M,1-14,1
17,47,Home / Non-institution,M,1-14,1
17,47,Hospital,F,1-14,1
17,49,Care Home,M,1-14,1
17,50,Hospital,M,1-14,1
17,51,Home / Non-institution,M,1-14,1
17,51,Hospital,M,1-14,1
17,52,Hospital,M,1-14,1
18,1,Home / Non-institution,M,1-14,1
18,2,Home / Non-institution,F,1-14,1
18,2,Hospital,F,1-14,1
18,2,Hospital,M,1-14,3
18,3,Home / Non-institution,F,1-14,2
18,4,Hospital,M,1-14,1
18,5,Care Home,M,1-14,1
18,7,Hospital,M,1-14,1
18,8,Care Home,F,1-14,1
18,8,Hospital,F,1-14,1
18,10,Care Home,F,1-14,1
18,11,Home / Non-institution,F,1-14,2
18,11,Hospital,F,1-14,1
18,12,Hospital,F,1-14,1
18,13,Home / Non-institution,M,1-14,1
18,14,Hospital,M,1-14,2
18,15,Care Home,F,1-14,1
18,16,Hospital,M,1-14,1
18,17,Care Home,F,1-14,1
18,18,Hospital,F,1-14,1
18,19,Home / Non-institution,M,1-14,1
18,19,Hospital,F,1-14,1
18,21,Hospital,F,1-14,1
18,21,Hospital,M,1-14,1
18,23,Home / Non-institution,M,1-14,2
18,25,Care Home,M,1-14,1
18,25,Hospital,M,1-14,1
18,28,Care Home,M,1-14,1
18,28,Home / Non-institution,F,1-14,2
18,28,Hospital,M,1-14,1
18,30,Home / Non-institution,M,1-14,1
18,31,Home / Non-institution,M,1-14,1
18,32,Hospital,F,1-14,1
18,32,Hospital,M,1-14,2
18,34,Home / Non-institution,F,1-14,2
18,35,Hospital,F,1-14,1
18,35,Hospital,M,1-14,1
18,36,Home / Non-institution,F,1-14,1
18,36,Home / Non-institution,M,1-14,1
18,36,Hospital,F,1-14,1
18,37,Home / Non-institution,F,1-14,1
18,37,Hospital,F,1-14,1
18,37,Hospital,M,1-14,1
18,38,Care Home,M,1-14,1
18,39,Home / Non-institution,F,1-14,1
18,39,Home / Non-institution,M,1-14,1
18,39,Hospital,F,1-14,1
18,40,Hospital,F,1-14,1
18,41,Care Home,M,1-14,1
18,41,Home / Non-institution,M,1-14,1
18,42,Hospital,F,1-14,1
18,43,Hospital,F,1-14,1
18,44,Care Home,F,1-14,1
18,44,Home / Non-institution,M,1-14,1
18,45,Home / Non-institution,F,1-14,1
18,45,Hospital,M,1-14,1
18,46,Care Home,F,1-14,1
18,46,Home / Non-institution,F,1-14,1
18,46,Hospital,F,1-14,1
18,48,Home / Non-institution,M,1-14,1
18,48,Home / Non-institution,F,1-14,2
18,49,Care Home,M,1-14,1
18,49,Hospital,M,1-14,1
18,50,Home / Non-institution,M,1-14,1
18,50,Hospital,F,1-14,1
18,50,Hospital,M,1-14,3
18,51,Care Home,F,1-14,1
18,51,Home / Non-institution,F,1-14,1
18,51,Hospital,M,1-14,3
19,1,Hospital,F,1-14,1
19,2,Hospital,F,1-14,1
19,2,Hospital,M,1-14,1
19,3,Hospital,F,1-14,1
19,3,Hospital,M,1-14,1
19,4,Home / Non-institution,F,1-14,1
19,4,Hospital,F,1-14,1
19,5,Care Home,M,1-14,1
19,7,Hospital,F,1-14,1
19,8,Hospital,F,1-14,2
19,9,Hospital,F,1-14,1
19,10,Care Home,F,1-14,1
19,10,Hospital,M,1-14,1
19,11,Hospital,M,1-14,1
19,12,Hospital,F,1-14,2
19,13,Hospital,M,1-14,1
19,14,Hospital,M,1-14,1
19,15,Care Home,F,1-14,1
19,15,Care Home,M,1-14,1
19,15,Home / Non-institution,M,1-14,1
19,15,Hospital,F,1-14,1
19,16,Hospital,F,1-14,1
19,17,Home / Non-institution,F,1-14,1
19,21,Care Home,F,1-14,1
19,21,Hospital,F,1-14,1
19,21,Hospital,M,1-14,2
19,22,Hospital,M,1-14,1
19,23,Home / Non-institution,F,1-14,2
19,23,Hospital,M,1-14,1
19,24,Hospital,F,1-14,1
19,24,Hospital,M,1-14,1
19,25,Care Home,M,1-14,1
19,25,Hospital,M,1-14,1
19,26,Care Home,F,1-14,1
19,26,Care Home,M,1-14,1
19,26,Hospital,F,1-14,1
19,27,Home / Non-institution,F,1-14,1
19,29,Home / Non-institution,M,1-14,1
19,30,Home / Non-institution,M,1-14,1
19,31,Hospital,M,1-14,1
19,32,Home / Non-institution,F,1-14,1
19,32,Hospital,M,1-14,1
19,33,Hospital,F,1-14,1
19,33,Hospital,M,1-14,1
19,35,Hospital,M,1-14,1
19,37,Home / Non-institution,M,1-14,1
19,39,Care Home,F,1-14,1
19,39,Hospital,M,1-14,1
19,40,Care Home,F,1-14,1
19,40,Hospital,F,1-14,1
19,42,Home / Non-institution,F,1-14,1
19,42,Home / Non-institution,M,1-14,1
19,43,Care Home,F,1-14,1
19,43,Hospital,M,1-14,1
19,44,Care Home,F,1-14,1
19,44,Hospital,F,1-14,1
19,45,Home / Non-institution,M,1-14,1
19,47,Hospital,M,1-14,1
19,48,Hospital,M,1-14,1
19,49,Home / Non-institution,F,1-14,1
19,49,Hospital,F,1-14,2
19,49,Hospital,M,1-14,2
19,51,Care Home,F,1-14,1
19,51,Home / Non-institution,F,1-14,1
19,51,Home / Non-institution,M,1-14,1
19,51,Hospital,F,1-14,2
19,51,Hospital,M,1-14,2
19,52,Hospital,M,1-14,1
15,1,Home / Non-institution,F,15-44,5
15,1,Home / Non-institution,M,15-44,15
15,1,Hospital,F,15-44,2
